scientific_name,common_name
Acronicta,Dagger Moths
Acronicta americana,American Dagger
Acronicta hastulifera,Frosted Dagger
Acronicta impleta,Powdered Dagger
Acronicta ovata,Epauleted Oak Dagger
Acronicta retardata,Maple Dagger
Actias luna,Luna Moth
Adoneta spinuloides,Purple-crested Slug Moth
Anisota,
Anisota peigleri,Yellow-striped Oakworm Moth
Anisota virginiensis,Pink-striped Oakworm Moth
Dryocampa rubicunda,Rosy Maple Moth
Epimecis hortaria,Tulip-tree Beauty
Halysidota harrisii,Sycamore Tussock Moth
Halysidota tessellaris,Banded Tussock Moth
Hypercompe scribonia,Giant Leopard Moth
Hyphantria cunea,Fall Webworm Moth
Hypoprepia fucosa,Painted Lichen Moth
Hypsoropha hormos,Small Necklace Moth
Lithacodes fasciola,Yellow-shouldered Slug Moth
Lithophane,
Lochmaeus,
Lochmaeus bilineata,Double-lined Prominent
Lochmaeus manteo,Variable Oakleaf Caterpillar Moth
Lon zabulon,Zabulon Skipper
Lymantria dispar,Gypsy Moth
Macrurocampa marthesia,Mottled Prominent
Malacosoma americana,Eastern Tent Caterpillar Moth
Malacosoma disstria,Forest Tent Caterpillar Moth
Manduca rustica,Rustic Sphinx
Misogada unicolor,Drab Prominent
Morrisonia confusa,Confused Woodgrain Moth
Nadata gibbosa,White-dotted Prominent Moth
Orgyia leucostigma,White-marked Tussock Moth
Paectes,
Panopoda,
Psilocorsis cryptolechiella,Black-fringed Leaftier Moth
Schizura ipomaeae,Morning-glory Prominent
