"","HEXcell","ObsYear","Code","Family","nobs","ntot"
"1",507,2002,"Oth","Nymphalidae",1,1
"2",507,2002,"RP","Lycaenidae",2,1
"3",507,2006,"Oth","Nymphalidae",5,6
"4",507,2006,"RL","Lycaenidae",1,4
"5",507,2006,"RL","Pieridae",1,4
"6",507,2006,"RP","Pieridae",1,2
"7",507,2007,"Oth","Nymphalidae",5,19
"8",507,2007,"RE","Hesperiidae",1,2
"9",507,2007,"RL","Lycaenidae",1,1
"10",507,2007,"RL","Nymphalidae",3,11
"11",507,2007,"RL","Pieridae",2,2
"12",507,2007,"RP","Pieridae",1,1
"13",507,2008,"Oth","Nymphalidae",8,26
"14",507,2008,"RL","Hesperiidae",5,6
"15",507,2008,"RL","Nymphalidae",3,10
"16",507,2008,"RL","Pieridae",3,4
"17",507,2008,"RP","Lycaenidae",5,21
"18",507,2008,"RP","Papilionidae",2,5
"19",507,2008,"RP","Pieridae",1,1
"20",507,2009,"Oth","Nymphalidae",5,20
"21",507,2009,"RL","Hesperiidae",2,2
"22",507,2009,"RL","Nymphalidae",4,18
"23",507,2009,"RL","Pieridae",1,1
"24",507,2009,"RL",NA,2,10
"25",507,2009,"RP","Lycaenidae",9,86
"26",507,2009,"RP","Papilionidae",2,2
"27",507,2016,"Oth","Hesperiidae",3,NA
"28",507,2016,"Oth","Nymphalidae",10,NA
"29",507,2016,"RE","Hesperiidae",2,NA
"30",507,2016,"RE","Lycaenidae",2,NA
"31",507,2016,"RL","Hesperiidae",3,NA
"32",507,2016,"RL","Lycaenidae",1,NA
"33",507,2016,"RL","Nymphalidae",14,NA
"34",507,2016,"RL","Pieridae",4,NA
"35",507,2016,"RP","Hesperiidae",1,NA
"36",507,2016,"RP","Lycaenidae",1,NA
"37",507,2016,"RP","Pieridae",1,NA
"38",507,2017,"Oth","Hesperiidae",1,NA
"39",507,2017,"Oth","Nymphalidae",11,NA
"40",507,2017,"RE","Hesperiidae",1,NA
"41",507,2017,"RL","Hesperiidae",8,NA
"42",507,2017,"RL","Nymphalidae",11,NA
"43",507,2017,"RP","Hesperiidae",1,NA
"44",507,2017,"RP","Lycaenidae",2,NA
"45",507,2017,"RP","Papilionidae",4,NA
"46",507,2017,"RP","Pieridae",1,NA
"47",507,2018,"Oth","Nymphalidae",1,8
"48",507,2018,"RL","Hesperiidae",4,42
"49",507,2018,"RL","Lycaenidae",1,2
"50",507,2018,"RL","Nymphalidae",2,22
"51",507,2018,"RP","Lycaenidae",1,4
"52",507,2018,"RP","Papilionidae",1,14
"53",534,2002,"RL","Hesperiidae",1,4
"54",534,2002,"RL","Lycaenidae",2,5
"55",534,2002,"RL","Pieridae",1,2
"56",534,2002,"RP","Lycaenidae",1,3
"57",534,2002,"RP","Pieridae",1,1
"58",534,2003,"Oth","Nymphalidae",1,1
"59",534,2003,"RL",NA,1,1
"60",534,2007,"Oth","Hesperiidae",2,8
"61",534,2007,"Oth","Nymphalidae",4,3
"62",534,2007,"RE","Lycaenidae",1,1
"63",534,2007,"RL","Hesperiidae",7,2
"64",534,2007,"RL","Nymphalidae",8,4
"65",534,2007,"RL",NA,4,4
"66",534,2007,"RP","Lycaenidae",1,0
"67",534,2014,"Oth","Nymphalidae",4,NA
"68",534,2014,"RP","Papilionidae",2,NA
"69",534,2015,"Oth","Nymphalidae",3,10
"70",534,2015,"Oth","Pieridae",1,1
"71",534,2015,"RL","Pieridae",1,2
"72",534,2015,"RP","Papilionidae",1,2
"73",534,2015,"RP","Pieridae",3,17
"74",534,2016,"Oth","Nymphalidae",1,18
"75",534,2016,"Oth","Pieridae",1,8
"76",534,2016,"RL","Hesperiidae",1,2
"77",534,2016,"RL","Lycaenidae",1,6
"78",534,2016,"RL","Pieridae",1,5
"79",534,2016,"RP","Pieridae",2,10
"80",534,2017,"Oth","Hesperiidae",4,38
"81",534,2017,"Oth","Nymphalidae",47,NA
"82",534,2017,"Oth","Pieridae",1,2
"83",534,2017,"RE","Hesperiidae",3,NA
"84",534,2017,"RE","Lycaenidae",1,2
