"","HEXcell","ObsYear","Code","Family","nobs","ntot"
"1",507,2003,"Oth","Nymphalidae",3,6
"2",507,2003,"RE","Lycaenidae",2,18
"3",507,2003,"RL","Hesperiidae",1,7
"4",507,2003,"RL","Nymphalidae",6,44
"5",507,2003,"RL","Pieridae",1,7
"6",507,2003,"RL",NA,1,2
"7",507,2003,"RP","Lycaenidae",1,2
"8",507,2003,"RP","Pieridae",2,7
"9",507,2007,"Oth","Nymphalidae",12,65
"10",507,2007,"RE","Hesperiidae",1,23
"11",507,2007,"RL","Hesperiidae",10,46
"12",507,2007,"RL","Lycaenidae",1,1
"13",507,2007,"RL","Nymphalidae",4,23
"14",507,2007,"RL","Pieridae",1,1
"15",507,2007,"RL",NA,1,2
"16",507,2007,"RP","Hesperiidae",1,3
"17",507,2007,"RP","Lycaenidae",4,42
"18",507,2007,"RP","Papilionidae",4,14
"19",507,2007,"RP","Pieridae",1,1
"20",507,2008,"Oth","Hesperiidae",1,2
"21",507,2008,"Oth","Nymphalidae",1,2
"22",507,2008,"RE","Hesperiidae",1,25
"23",507,2008,"RE","Lycaenidae",2,4
"24",507,2008,"RL","Hesperiidae",8,21
"25",507,2008,"RL","Nymphalidae",9,78
"26",507,2008,"RL","Pieridae",1,3
"27",507,2008,"RP","Hesperiidae",1,7
"28",507,2008,"RP","Lycaenidae",2,9
"29",507,2008,"RP","Papilionidae",2,4
"30",507,2014,"Oth","Hesperiidae",1,11
"31",507,2014,"Oth","Nymphalidae",6,37
"32",507,2014,"RE","Hesperiidae",1,57
"33",507,2014,"RE","Lycaenidae",5,110
"34",507,2014,"RL","Hesperiidae",8,356
"35",507,2014,"RL","Lycaenidae",1,1
"36",507,2014,"RL","Nymphalidae",11,582
"37",507,2014,"RL","Pieridae",3,38
"38",507,2014,"RP","Hesperiidae",1,1
"39",507,2014,"RP","Lycaenidae",1,1
"40",507,2014,"RP","Papilionidae",1,1
"41",507,2014,"RP","Pieridae",2,44
"42",507,2018,"Oth","Hesperiidae",2,26
"43",507,2018,"Oth","Nymphalidae",3,8
"44",507,2018,"RE","Lycaenidae",3,34
"45",507,2018,"RL","Hesperiidae",4,NA
"46",507,2018,"RL","Nymphalidae",10,NA
"47",507,2018,"RL","Pieridae",2,42
"48",507,2018,"RP","Lycaenidae",1,2
"49",534,2003,"Oth","Hesperiidae",1,1
"50",534,2003,"Oth","Nymphalidae",3,23
"51",534,2003,"RL","Nymphalidae",5,14
"52",534,2003,"RL","Pieridae",2,7
"53",534,2003,"RP","Lycaenidae",1,2
"54",534,2003,"RP","Papilionidae",1,2
"55",534,2003,"RP","Pieridae",1,10
"56",534,2015,"Oth","Nymphalidae",3,10
"57",534,2015,"RL","Hesperiidae",7,66
"58",534,2015,"RL","Lycaenidae",1,4
"59",534,2015,"RL","Nymphalidae",1,46
"60",534,2015,"RL","Pieridae",1,8
"61",534,2015,"RP","Lycaenidae",1,2
"62",534,2015,"RP","Papilionidae",1,10
"63",534,2015,"RP","Pieridae",1,2
"64",534,2017,"Oth","Hesperiidae",3,22
"65",534,2017,"Oth","Nymphalidae",28,NA
"66",534,2017,"RE","Hesperiidae",3,NA
"67",534,2017,"RE","Lycaenidae",5,76
