"q10","q50","w10","w50","year","HEXcell"
172.5,202.5,165.416217916445,203.752161470616,2017,507
139,197,132.940298863937,190.940080304705,2018,507
167.5,222,173.889699510076,219.846847127142,2019,507
163.6,208,157.598566894527,207.230476473965,2020,507
134,192,123.176091921181,199.848578034764,2015,534
141,189,122.501650102105,194.302827696916,2016,534
140.2,224,146.627808522572,220.018788150627,2017,534
154.6,221,160.903254359553,219.651700288026,2018,534
166.7,223,167.274709377108,222.792653611601,2019,534
132,198,126.345587153896,197.569278436206,2020,534
150,230,149.579551622851,214.260840133607,2016,535
175.8,238.5,169.601997327789,233.001720465164,2017,535
133,205,131.339016282973,202.206517057434,2018,535
176.4,237,178.506878419937,233.285054333462,2019,535
158,208,153.716460277719,207.0023235731,2020,535
144.5,210.5,97.2634111989216,184.183726995003,2017,536
137.8,193,138.01485285064,200.22153340954,2018,536
170,221,173.902744229444,221.834584982687,2019,536
160.2,209,153.867021646521,208.086139282545,2020,536
146,231,123.839455954089,214.35593768793,2016,562
141.1,231,151.986299808681,216.854763384583,2017,562
162.4,217,158.145236367513,217.109534200004,2018,562
162.5,224,163.527910191152,223.168773689139,2019,562
143.4,208,135.506073601913,205.137683807255,2020,562
157.4,234,158.608250032438,226.998095175117,2016,563
147.8,234,142.560862814503,227.534332513424,2017,563
172,223,173.623832504502,226.448605687405,2018,563
164.6,236,169.725138046089,227.225836815522,2019,563
153.9,207,143.826017263778,208.396000229073,2020,563
135.2,155,116.231479997719,164.236821150588,2010,564
150,196.5,139.757762526301,197.845208324028,2015,564
145.6,189.5,136.355801806914,200.264307146054,2016,564
155,203,149.102641243268,207.665899686586,2017,564
152,197.5,143.720236741874,203.393262229211,2018,564
169,225.5,168.190573889194,229.466258426128,2019,564
171,227,171.12610637658,224.008107105902,2020,564
159.4,235,113.185117671432,205.474638675357,2013,565
203.4,235,196.633721688819,230.134486002231,2014,565
144,181,129.167871177944,187.927293074614,2015,565
176.4,215.5,162.035887854218,226.856628689463,2016,565
161,224,165.665411084016,220.321698933049,2017,565
160,219,161.048467870026,216.303458832566,2018,565
196.6,234,189.252302395096,237.498161171514,2019,565
179.5,218,169.674466913555,219.000379151883,2020,565
106,183,106.99326019055,181.900387482002,2007,566
165.3,195,147.853403661786,216.139056373993,2008,566
159,234,161.712584781974,217.674718925436,2009,566
123,189.5,117.189289087748,194.302104711884,2010,566
155.7,215.5,161.398177714502,213.108603574022,2011,566
148.3,188,125.11856360966,200.623945312143,2012,566
162.2,216,166.649401164423,221.780648982523,2013,566
193,232,187.161685467309,230.420910120486,2014,566
153,204,146.678377590547,206.774017013811,2015,566
150,182,130.629237685248,194.27956340944,2016,566
151,195,138.339123456812,204.375612990615,2017,566
150,226.5,149.109325479333,220.532223153067,2018,566
202,247,200.919101527076,245.751398969602,2019,566
152,210,144.839753003718,209.103000207919,2020,566
201.4,249.5,184.376914433654,245.447327607431,2011,567
191.2,237,180.493889037292,231.268839266377,2012,567
154.2,235,165.359017547704,226.551053422422,2013,567
169,231,182.141765520268,233.693487090696,2014,567
143.6,229,143.431516419505,212.67374718154,2015,567
151.6,214.5,145.525670873168,209.164182569276,2016,567
160.7,247,178.850255584301,239.060291272107,2017,567
153,232,163.965628155673,225.156791451166,2018,567
199,250,194.121420953261,244.604645932799,2019,567
157,220,149.068832768886,219.197056610456,2020,567
105,242,122.706054786139,216.452099615746,2013,568
196.5,234,190.46776991843,229.641294382664,2014,568
200.8,242,205.389664694975,237.590225396758,2015,568
152.6,221.5,157.846712792992,218.681342594265,2016,568
179.2,247,193.091624991636,241.543772235461,2017,568
162,236,181.135492769991,231.649548713806,2018,568
215,249,208.242594348125,248.232711677944,2019,568
162,223.5,164.833930763028,220.735965711986,2020,568
155.6,211,137.891466746479,213.223597273799,2017,589
175.7,238.5,168.037497801829,239.275466158611,2018,589
168,245.5,167.334817041042,235.309434686429,2019,589
151.1,188.5,131.108954157613,195.351343121018,2020,589
142,260,159.647897809291,234.995689536382,2013,590
144.4,159.5,112.186714807176,178.667085383591,2014,590
148.6,214,152.501310796154,212.919304977792,2015,590
155.1,247.5,172.377977541143,238.984811763594,2016,590
174.1,230.5,164.360845528691,226.545916796246,2017,590
155,222,156.946129840541,221.387469604381,2018,590
166,233,166.290598982736,229.925460460105,2019,590
143,200,130.033750799977,202.132083738008,2020,590
117,147,90.178572817164,177.677737832341,2008,591
155.8,249,172.720091921237,233.460585132004,2014,591
140.4,218,136.820633245543,212.754633278047,2015,591
147,234,151.516354739628,222.045503558959,2016,591
163.8,227,165.102729327111,223.002144327406,2017,591
160.3,224,158.501045643579,223.626338429008,2018,591
170.2,234,172.576876039901,231.37698688773,2019,591
160,218,154.82813187301,219.29486412149,2020,591
184.8,257,185.660075824747,241.840859653874,2014,592
147,201,142.862777875919,195.793955076701,2015,592
159,236.5,156.223742131907,233.293259981223,2016,592
142.2,244,158.56500106651,228.711553791095,2017,592
181.3,238.5,175.24853517171,236.784658357119,2018,592
181.7,240,179.448912272466,235.245658003294,2019,592
158,222,154.207024448949,219.844009636207,2020,592
212,239,200.17258757589,242.840588019418,2006,593
140.4,213,132.446303169428,202.531899943818,2007,593
169.8,218,170.121025617876,224.713321013676,2008,593
153,215,151.632093390999,218.097225485581,2009,593
115,194,114.34179154417,193.873982099079,2010,593
182,237,183.618898063325,230.381754280779,2011,593
151,223,159.004049980538,216.40500262451,2012,593
152.1,243,173.320393767527,230.4902700229,2013,593
160.4,232.5,158.980103813534,224.99620687606,2014,593
140,205,130.482158366418,203.753921910441,2015,593
147,212,134.474900155336,210.993227892969,2016,593
158,243,172.280036340096,233.565475734336,2017,593
158.4,235,167.691422786636,229.969175967082,2018,593
198,241.5,190.737338082696,240.727730109817,2019,593
155,211,144.165455800345,209.664375678589,2020,593
216.1,251.5,191.8270762687,246.373610981174,2009,594
187.8,225,180.484860788647,232.356399535724,2011,594
182.6,211,170.699195116838,215.365669463351,2012,594
181,234,169.66789553553,231.821409358216,2013,594
148.8,219,146.91364377986,214.79864173577,2014,594
147,235,154.207400549184,223.484053497688,2015,594
134.8,224,128.74818882893,204.575573486106,2016,594
162,238,175.891741023745,234.309604525007,2017,594
151.4,227,156.198231136557,221.367397768587,2018,594
181,242,185.645576778516,238.70101113068,2019,594
158,221,154.422161156124,219.936850986489,2020,594
162.1,268,152.61681475902,242.79122962428,2006,595
185.4,225,176.100645298768,226.316796121018,2010,595
164.3,235.5,159.721734982243,229.142114054013,2011,595
159.2,233,180.156099473645,226.559170114013,2012,595
161,236,173.20833092319,231.718496686487,2013,595
138.8,200,132.142825127783,204.228949583623,2014,595
138.8,200.5,128.176786345949,205.315024335862,2015,595
135.2,226,133.977292961009,213.231201647576,2016,595
148,243.5,151.129165483188,226.912811789687,2017,595
146,232,152.373097985381,222.753322953211,2018,595
175,242,182.752709097442,238.408877639055,2019,595
147,217,144.149298502718,214.100034802531,2020,595
221.1,243,189.468429628176,246.528454945367,2016,616
206.4,244,202.12144608874,243.784633150982,2017,616
168.6,253,183.67876148191,241.24973133595,2018,616
167.5,241,163.623304366406,226.212436129673,2019,616
151,233.5,152.767768489493,227.535739468471,2020,616
135.6,210,143.250123835337,213.596264954287,2015,617
196.2,247,183.822752271664,244.773371862391,2016,617
169.2,268.5,178.534204662871,245.564696501472,2017,617
191,254,189.978764359231,250.472767579365,2018,617
153.6,250,178.488708202026,239.459842284916,2019,617
140,251,160.265543726581,233.543782621081,2020,617
142.2,236,153.448825423889,228.282606979793,2013,618
188.6,245,182.121023689839,238.469665685588,2014,618
130,225.5,129.664305196429,207.63695730409,2015,618
141.1,235.5,151.246232082322,224.46600808336,2016,618
154,241,166.815646310148,227.692120796493,2017,618
180,234,177.127841171465,236.043739836272,2018,618
174,227,160.906629240626,226.51588268504,2019,618
155,214,146.897280254622,211.96791488638,2020,618
217.5,260.5,213.65823129135,256.248374189635,2013,619
168.4,240,173.683158782682,231.779644573495,2014,619
160.8,236,167.305538006167,231.563769376421,2015,619
153.2,234,159.459801027233,230.959743440699,2016,619
155.2,246,172.190791318732,235.508819638226,2017,619
182,239,175.45422240116,235.907441483069,2018,619
184,239,179.225455815739,235.44758858629,2019,619
163,227,164.680115494264,225.655020570852,2020,619
159.8,216,118.819220738259,198.610552253684,2006,620
97,182,88.1699109817673,180.988128550268,2008,620
163.7,227,153.321054907782,216.673390403494,2009,620
133,223,149.561941382273,219.248725789093,2010,620
196,247,180.584625389094,243.933264065287,2011,620
158,231.5,159.257223371075,227.264043089792,2012,620
171.8,243,152.793213714239,232.77144394214,2013,620
182.8,242,181.919715568954,240.967542899857,2014,620
147,237.5,157.238879294409,225.339175450624,2015,620
138.3,223,137.764075007654,211.624478717943,2016,620
182.3,250,180.459102349912,244.138014582338,2017,620
166.4,237,168.22235600386,232.690172459206,2018,620
181,238,173.466810477582,235.411436954467,2019,620
156,228,156.648226766568,224.604926319962,2020,620
208.4,247,187.233003089507,246.073625432274,2011,621
112.4,175,53.6466419384682,146.790436227696,2012,621
151.2,204,139.404472532209,210.664893231348,2013,621
177.2,235,169.400978633978,229.931295347622,2014,621
146.2,186,120.044976955459,194.964558358007,2015,621
156,236,174.11658456834,233.37079322978,2016,621
178,241,176.89517591805,234.875988575952,2017,621
166,232,166.056073054695,228.127351100738,2018,621
162,237,167.079394668791,232.141101373584,2019,621
156,219,145.323882348306,218.058604927348,2020,621
156.9,260.5,163.422675027571,229.627731152708,2003,622
123.8,147.5,91.0249868732259,169.686834160634,2004,622
126,151.5,96.728310017467,184.362153432775,2006,622
160,246,187.423099484634,240.693018678811,2007,622
120.5,190.5,69.9460729849084,173.078346486784,2008,622
116,218,106.256979490282,205.032463468976,2009,622
160.5,239,164.433159314058,228.217326005403,2010,622
155,233,167.939193605158,227.716043968583,2011,622
145.1,212,137.202922544495,211.041058256886,2012,622
165.4,237,165.480349282612,231.136319173497,2013,622
162.9,260,182.634929739565,248.130647641455,2014,622
135,167,116.725609772902,186.509454048082,2015,622
134.1,194,123.117062309383,201.861514759704,2016,622
147.8,235,158.015672495169,228.479862971749,2017,622
162,235,167.836551339525,230.798151047152,2018,622
174,239,172.532548775112,234.093521894683,2019,622
150,222,146.112085486981,219.315018988348,2020,622
230,254.5,208.353569928568,252.552886859291,2014,644
110.4,187,114.261165470736,199.703031748568,2015,644
214,254,203.471277954726,250.662018324141,2016,644
176,261,192.946055570533,242.986319626673,2017,644
166,244,171.37494339755,234.720062789924,2018,644
127.6,217,146.039839399198,214.205886199243,2019,644
143,251,164.601962108554,236.174344393105,2020,644
138,260,182.453553599099,244.013214078356,2013,645
93,215.5,117.803993165891,210.113424971056,2014,645
156.6,268,172.352814678555,241.911771256669,2015,645
116.8,255,163.670230474643,245.134784377111,2016,645
130,233.5,150.465516285632,224.151286826972,2017,645
176,245,180.021405205477,242.889607427713,2018,645
150,241,159.70565582963,229.257147304485,2019,645
155,255,173.306014164699,239.984059214394,2020,645
170,235,170.727879372239,233.92843777114,2013,646
122.1,229,113.060770060383,205.32071988867,2014,646
173,249,189.873255296049,247.149396215503,2015,646
153.5,247,174.659170927524,238.818283828843,2016,646
176,239,165.579703576441,234.040980220084,2017,646
175,237,176.556086895613,233.50367176021,2018,646
159,228.5,162.45861466713,226.061241846688,2019,646
174.8,242,175.967660086287,237.311116439794,2020,646
182.2,214,179.255528826001,215.828120037542,2005,647
215.4,229,198.330039714397,235.656381132082,2010,647
142.8,240,168.796623629823,226.345304733618,2011,647
141.5,220.5,147.493997785613,218.801234090877,2012,647
131,193,118.636526276543,196.872358319593,2013,647
170.2,228,152.350441303891,225.207526503791,2014,647
159,221,147.65465031818,221.897209437356,2015,647
175.4,235,170.377902972493,234.398231957516,2016,647
165,244,167.022259532624,234.894084318762,2017,647
183.9,244,185.366448354262,241.503090086965,2018,647
178,241,178.086736323709,235.635584209744,2019,647
182,243,181.147671844562,237.522077500197,2020,647
154,206,148.037021509272,208.646257433041,2006,648
165.8,240,169.628754075457,227.754662241123,2009,648
136,185,99.676929530987,188.023042223941,2010,648
160.6,246,161.125120509815,230.491197858064,2011,648
150.2,214,136.637566881619,212.393840887838,2012,648
162,250,169.42058727253,237.658809208277,2013,648
153.5,234,151.34426249957,222.772429398458,2014,648
144,248,165.401122156022,233.251279933245,2015,648
141,229,156.555371968569,224.054109950642,2016,648
192.7,254,193.614870655024,248.10570775189,2017,648
172,239,175.214481612003,235.260759450663,2018,648
172,236,176.978282175167,233.047324479991,2019,648
169,242,176.661544905031,236.624558138395,2020,648
180.7,216.5,163.174030784756,223.169574467984,2008,649
212.2,243,193.942415208938,239.984765622705,2009,649
140,209,144.049760632107,204.535829285211,2010,649
160.6,232,156.18837031989,231.602205028386,2011,649
175.7,240.5,169.394885072983,240.704794799802,2012,649
165,252,168.46762848028,240.720313739921,2013,649
178,232.5,173.782001063923,229.870380144501,2014,649
128,197,112.717732535671,197.259111501017,2015,649
122,236,138.4597670603,219.665014441085,2016,649
170,244,174.121664808049,238.99324103909,2017,649
156,235,162.604397555415,230.508787718451,2018,649
166,233,163.556756692364,227.439847250534,2019,649
142,229,156.037193213105,225.919894151043,2020,649
146.9,255,160.482072010716,233.427634631751,2015,672
99,237,115.509248216707,207.603035736406,2016,672
220.1,246.5,188.928232961491,248.383737460279,2017,672
175,245.5,168.792374200326,242.986117671066,2018,672
126,236,141.499077108009,217.171596485179,2019,672
106.4,228,126.30593429843,206.421206055441,2020,672
176.4,257.5,197.677181451356,248.585303688028,2013,673
178.6,223,173.062333969952,217.237376786609,2015,673
217.7,235,191.083261275806,238.427577218282,2016,673
163,232,149.538673614648,226.88438082748,2017,673
165,233.5,163.061441474818,226.796827643713,2018,673
136,214,141.708112002829,209.545745271921,2019,673
166,243,171.512503143845,233.129208636732,2020,673
139.6,253,161.016909322958,244.946797723595,2014,674
147,234,166.752741696101,230.64100732271,2015,674
113,243,131.977068580472,213.421488677975,2016,674
199,233,179.24382092005,235.993607208962,2017,674
170,239,171.681595933261,231.571193584221,2018,674
159.6,227,164.518031179744,223.459989564056,2019,674
119,240,158.284513717796,225.919404726237,2020,674
150,216.5,150.431852237328,210.416950978286,2013,675
140.6,202,119.807768975428,208.222059626006,2014,675
145,229,155.975616371567,222.428727782941,2015,675
152.9,251.5,180.203634644145,242.818298664961,2016,675
160.5,256,177.097249376698,243.797484832113,2017,675
153.6,232,154.185160475528,220.964110874666,2018,675
165,239,174.866793220164,232.867001973399,2019,675
145.2,245,172.259323180963,234.527884972705,2020,675
162.1,235,172.634927811451,233.712530611459,2009,676
130.4,198,118.084758156559,200.538362193126,2010,676
109.5,208,112.932808632028,188.21257005453,2011,676
159.6,246,165.690602817765,235.445451441382,2012,676
161.1,228.5,155.985988097617,223.955328373285,2013,676
132,219,145.730711494773,214.601716060536,2014,676
124.8,206,121.619041869859,204.207675247608,2015,676
116,233,132.486745687831,214.401471574961,2016,676
140,239,149.051984696428,227.033674783989,2017,676
167.9,247,172.77760614089,238.085089296999,2018,676
152,231,154.219966792047,222.506511097172,2019,676
117,229,138.514427324482,216.220200456241,2020,676
208.6,219,195.321932251034,229.620062300768,2010,702
103.8,219,102.670815859233,190.927214083,2011,702
114.2,219,127.219006651323,212.346307573083,2012,702
205,235,181.217886436689,244.068676287104,2013,702
158,243,170.145052378314,236.170693991761,2014,702
113.4,206,118.902980855758,199.651789271675,2015,702
133,234.5,153.764762732286,225.160339489555,2016,702
136.1,232.5,156.992806435431,225.517288296634,2017,702
143.1,236,162.307468077547,227.153417103179,2018,702
127,228,145.266820715367,216.939795440846,2019,702
113,239.5,145.795388146823,223.791289357345,2020,702
151.7,162.5,120.886162333108,170.876026545312,2004,703
191.8,245,184.375877607565,235.110293666123,2005,703
208,263,189.537921205022,257.152021051059,2013,703
113.8,251.5,142.557020168609,227.494667015415,2014,703
156.6,187,133.618770439095,202.891539473908,2015,703
143.6,221,144.859408640722,212.592193167489,2016,703
105,220,121.350795260012,205.608203708611,2017,703
118,224,139.308105067682,213.359011253258,2018,703
116,194,121.230265891841,196.921789641839,2019,703
99,225,104.430825330506,196.870706513151,2020,703
133,218.5,128.471657113534,199.249557863893,2016,733
142,220,133.424546693526,213.827997382657,2017,733
108.2,184,111.69846428681,196.270205736227,2018,733
128,169,104.5479965707,186.413829185604,2019,733
109,155.5,82.0499226750348,174.998424391211,2020,733
170.4,219,152.562878927113,224.17913804948,2016,736
187.4,252,183.305990915703,246.663360063627,2017,736
160,234,170.025783240297,227.804860812353,2018,736
175.6,239,179.135806963052,234.615351803234,2019,736
154.2,227,152.615378466497,222.227817116188,2020,736
179.6,239,181.893070519438,232.453347090439,2016,739
168.2,246,172.296453779314,233.061644140333,2017,739
163.7,244,182.482227387763,238.505369247666,2018,739
195,243,190.043836266632,238.268196668559,2019,739
142,226,150.122699063751,217.388530539684,2020,739
216,266,221.68954536728,257.196295225634,2018,769
190,232,154.535739435352,225.316227525675,2019,769
188.6,238,198.271328757686,236.722616132407,2020,769
