"q10","q50","w10","w50","year","HEXcell"
172.5,202.5,165.345638192177,204.379067632768,2017,507
139,197,133.425460149465,189.904443734174,2018,507
167.5,222,173.889405939846,220.475624530732,2019,507
163.6,208,158.436037024532,207.047948024142,2020,507
134,192,120.304200342225,200.598461634108,2015,534
141,189,123.702387801417,195.663263144236,2016,534
140.2,224,146.052840047011,221.085497200481,2017,534
154.6,221,160.62411100547,219.240105637917,2018,534
166.7,223,167.425840415864,222.828004872923,2019,534
132,198,127.036638309714,197.888490637229,2020,534
150,230,151.155079416089,213.914525071297,2016,535
175.8,238.5,170.68248082138,233.580179818591,2017,535
133,205,131.437610441451,200.633358218635,2018,535
176.4,237,179.790021795205,233.311846286364,2019,535
158,208,154.189230303736,206.948682081143,2020,535
144.5,210.5,96.9686502538947,185.645210024034,2017,536
137.8,193,138.930313561571,200.733200693954,2018,536
170,221,172.911498567191,221.46604318302,2019,536
160.2,209,154.134261364363,208.222216163773,2020,536
146,231,124.843513110532,212.773093286889,2016,562
141.1,231,151.997688635408,217.356237489121,2017,562
162.4,217,158.390528472996,217.360224176648,2018,562
162.5,224,163.193232517171,222.964522199816,2019,562
143.4,208,135.634723919192,204.809786679664,2020,562
157.4,234,158.444538256199,225.491162947122,2016,563
147.8,234,142.204504586106,224.711495458037,2017,563
172,223,172.501995009594,226.356236120002,2018,563
164.6,236,169.68388991788,227.496334815546,2019,563
153.9,207,142.975069985315,208.619747430247,2020,563
135.2,155,118.775520818371,162.473405987262,2010,564
150,196.5,137.180837419677,197.979465142826,2015,564
145.6,189.5,136.963687615536,200.748114320759,2016,564
155,203,149.596259941417,207.708213698148,2017,564
152,197.5,144.133173739064,202.209082069483,2018,564
169,225.5,168.070682215812,229.263801482543,2019,564
171,227,171.56016561762,223.812880986381,2020,564
159.4,235,108.755429580084,207.941786092111,2013,565
203.4,235,197.656991804657,229.885230297921,2014,565
144,181,130.156171705216,189.302300021474,2015,565
176.4,215.5,160.44622010023,225.269104364182,2016,565
161,224,166.665843007015,221.073108415944,2017,565
160,219,162.28630294479,215.804577439628,2018,565
196.6,234,189.107537122187,237.505777312998,2019,565
179.5,218,169.495938045143,218.974267986219,2020,565
106,183,106.746558030389,182.269685964413,2007,566
165.3,195,146.928794607184,214.597996360247,2008,566
159,234,161.385359231351,219.89672266506,2009,566
123,189.5,120.372570786814,194.2200216699,2010,566
155.7,215.5,161.738643757184,211.834022687591,2011,566
148.3,188,126.068720813186,201.460373934553,2012,566
162.2,216,165.887242653497,222.616820371817,2013,566
193,232,187.319302198756,230.325780228942,2014,566
153,204,146.625141047904,206.435858006658,2015,566
150,182,130.769683871203,193.534858480981,2016,566
151,195,138.436978997595,204.317025433258,2017,566
150,226.5,149.187245837573,220.323005281215,2018,566
202,247,200.758663214414,245.774059564487,2019,566
152,210,144.548741652716,208.918213934873,2020,566
201.4,249.5,186.631189451171,244.465936468984,2011,567
191.2,237,179.154381167859,231.094260776687,2012,567
154.2,235,166.039249753553,226.987004058274,2013,567
169,231,181.542722915589,234.07477652662,2014,567
143.6,229,144.410689801684,214.086499454743,2015,567
151.6,214.5,145.08775885801,209.196287185765,2016,567
160.7,247,179.497478633535,238.216188141883,2017,567
153,232,164.013900246615,224.996201072702,2018,567
199,250,193.955168100469,244.77431915849,2019,567
157,220,149.360065885887,219.254033319844,2020,567
105,242,123.996130616176,214.975318982756,2013,568
196.5,234,189.480041067722,229.726536188731,2014,568
200.8,242,206.945333175247,237.540860821421,2015,568
152.6,221.5,157.409107377417,219.034548440301,2016,568
179.2,247,193.545013530663,241.153934573753,2017,568
162,236,181.989775308681,231.919694244873,2018,568
215,249,208.159431300495,248.171449728527,2019,568
162,223.5,164.907814160512,220.677567112604,2020,568
155.6,211,135.633512289648,213.728755287791,2017,589
175.7,238.5,168.623581518565,239.710256085572,2018,589
168,245.5,166.612695853627,235.84361073471,2019,589
151.1,188.5,129.184125063268,195.453322424486,2020,589
