"q10","q50","w10","w50","year","HEXcell"
173.5,225,169.595677215549,220.230362213854,2019,507
172.1,211.5,163.672525426735,213.009250652994,2020,507
169,239,154.431685718591,230.363820054275,2017,534
153.4,208,151.229639237711,208.823173879345,2018,534
169.2,220,163.666291107258,221.52227222509,2019,534
120.4,196.5,117.904146677979,196.014008906092,2020,534
180.6,234,178.929209857969,229.563413233963,2017,535
132.5,204.5,136.237027790551,198.972612915372,2018,535
154.8,227,153.46917410019,220.081670171981,2019,535
162.4,211,155.018580331257,210.974367341905,2020,535
187.5,220.5,179.553645785733,221.738853403819,2019,536
160.8,200,147.477007785675,202.101509426346,2020,536
157,246,156.178972621909,221.61898975083,2017,562
153.5,202,143.316798730778,204.334332562621,2018,562
162.2,218,155.670929556378,221.764713057332,2019,562
145,198,126.207031781966,197.934271765515,2020,562
134,203,105.740615813362,197.203017488137,2017,563
176.4,217,169.552353969458,218.237306161739,2018,563
164.5,216,152.719310288019,213.819872656237,2019,563
148.1,199.5,139.012237614912,196.154533932699,2020,563
158,197,147.552067772929,206.332938361772,2018,564
168.3,218.5,163.224952521211,220.624540707482,2019,564
160.5,223.5,164.177042483996,220.972190455707,2020,564
211.8,247.5,203.561823537725,246.653278934199,2013,567
170.2,227,178.594008306007,228.654833028905,2014,567
143.1,183,107.436291395541,201.770361012927,2015,567
192.9,237.5,167.324728132092,235.477256336691,2016,567
158.4,246,164.64374684682,236.01415569079,2017,567
154,231,165.601182572207,226.505858302943,2018,567
170.8,244,180.778436022755,239.797308790019,2019,567
152.2,215,146.638955467929,213.560337192425,2020,567
149,247,158.163071939845,248.381661201812,2013,568
219.4,238,179.824690245426,242.010625680494,2016,568
216.6,243,205.319558602087,247.806114066403,2017,568
174.4,232.5,181.207366673447,230.642465132866,2018,568
208.2,243,197.34283037248,243.172251238725,2019,568
158.8,220,159.216068777942,218.261621004447,2020,568
168.2,236,162.099195440631,240.327789243671,2018,589
164.2,209,150.405502309792,220.243365576528,2019,589
