"q10","q50","w10","w50","year","HEXcell"
174.3,223,172.880344374488,219.796284567309,2019,507
171.1,211.5,164.297183703658,210.077030067428,2020,507
169,239,157.5995645251,232.168119974184,2017,534
155.6,208,155.066306947517,210.995564751212,2018,534
173.3,230,177.66469797113,227.485602076806,2019,534
132.8,198,127.154783907971,202.343783131033,2020,534
183.4,226,178.577758568013,227.793548101153,2017,535
132.9,216.5,139.136619482366,199.880391323075,2018,535
168.8,232,164.373892146833,224.96463441286,2019,535
167.2,210,159.612691811978,211.996724626724,2020,535
189,223,185.511577150357,225.849945414862,2019,536
171.9,201.5,153.519829922192,202.499349326314,2020,536
157,246,153.221460224484,225.354330463466,2017,562
153.2,201,142.095484394314,204.323551101853,2018,562
163,220,159.325150303928,221.598414768244,2019,562
150,195,130.143456480366,196.532036790902,2020,562
141,216,115.270384287727,206.012336541964,2017,563
172.4,219,171.181893562717,217.834476029875,2018,563
162.5,216,152.885917550941,211.361744767101,2019,563
140,200.5,140.906981852913,196.83216516875,2020,563
159.6,197,149.426109589325,208.051253299109,2018,564
167,218.5,162.485491625946,221.569848707012,2019,564
165.2,227,175.571848798437,225.357273824963,2020,564
213.2,247.5,210.229151752205,247.466771111658,2013,567
184.6,226.5,184.239494836892,229.697223623083,2014,567
143.2,181,104.561649854308,197.455148193634,2015,567
198,240,177.818549279263,237.117154393203,2016,567
163.1,245,175.117724759442,239.890708550903,2017,567
157,235,174.873660577448,230.164496854317,2018,567
207,251,199.890268672433,247.315783279751,2019,567
160,220,161.144902015717,220.529173705714,2020,567
171,246,165.877987120371,247.276117282346,2013,568
220.2,238,182.137176615027,239.640071371307,2016,568
227.4,239,208.22714332393,247.043126389828,2017,568
187.5,234.5,187.52306981214,233.718301144899,2018,568
217,246,208.297925823337,246.175369127577,2019,568
167.7,222,171.71491508406,220.81559307457,2020,568
168.2,236,163.154141908012,238.699484548664,2018,589
167.2,215,157.434943681788,223.685480667761,2019,589
160,180,140.641375095987,193.413825084733,2020,589
219.6,265,203.373719885355,261.206737186595,2016,590
167.4,222,140.903065331654,208.734341702534,2017,590
153.2,215,150.649991609297,213.309900058799,2018,590
166.4,241,173.356106748692,235.612976162597,2019,590
141,172.5,118.265022221796,188.947420651404,2020,590
153.8,227,151.986491249231,216.418827163058,2017,591
153.8,217,145.546350586569,217.456833950109,2018,591
161,240,174.082676397183,233.854511575219,2019,591
161,217.5,160.846446306232,221.40431865686,2020,591
166.7,212.5,157.150286845578,216.331276733963,2018,592
166.2,228.5,169.894157920776,229.091898990575,2019,592
158,231,161.97712637404,225.127904914973,2020,592
169.4,179.5,135.007356945873,192.860946046265,2020,593
192.4,234,192.20203642136,232.955664470621,2013,594
162.7,218.5,168.313129081716,219.941440062969,2014,594
174,230.5,169.058296880224,230.994048690295,2015,594
151.8,226,152.493368506858,218.542573507188,2016,594
198.2,244,196.264556460195,245.560551627163,2017,594
154.1,231,164.417000589851,224.796221721879,2018,594
197.4,243,197.131015239195,242.530323826182,2019,594
156,220.5,158.247095851523,218.67095143594,2020,594
151.1,228.5,167.424023487042,216.936805115242,2012,595
161,231,163.558002981137,224.868052222921,2013,595
146,200,126.164439955579,205.420527501967,2014,595
142,214,142.047316634802,208.308050843229,2015,595
132.2,221,133.743078606316,210.91015760005,2016,595
151,238,154.487684082355,224.917523939989,2017,595
146.9,231,160.789243179705,222.558147019007,2018,595
182,240,187.97162104585,238.583454892062,2019,595
149.9,218,148.906537046776,214.081235330814,2020,595
17,79,28.9481694080179,70.2060971457815,2021,595
174,263,186.51978291069,244.658754276441,2018,616
158.6,256,169.724299046597,230.037543147588,2019,616
157.8,220.5,153.71840281836,223.973105070682,2020,616
136,186,124.704712629682,205.820794065924,2015,617
204.1,250,171.58784615876,247.851136134312,2016,617
163,246,180.567757610018,245.60102448727,2018,617
152.8,237,164.833870586766,230.350171518229,2019,617
127.5,221,133.631523511471,210.247998211067,2020,617
181,244,186.723422442512,237.426290534916,2017,618
160.3,230,164.702993623454,229.936624454525,2018,618
171,236,169.494322744669,231.984670390337,2019,618
158.9,224,156.512649251482,221.422349035492,2020,618
136,249.5,139.304591187934,222.176943336298,2017,619
185,241,169.762726153476,232.542551824168,2018,619
164.5,240,170.656436116108,231.506784901401,2019,619
173,239.5,177.124426406269,232.935549213953,2020,619
183.4,243,168.591593432556,243.159218148114,2013,620
181,247,166.48850347315,239.545340600193,2014,620
159,242,161.314299230313,238.280056324209,2015,620
125,193,104.445882567813,189.786672346994,2016,620
182.7,254,185.589132699949,245.640844793576,2017,620
174,233,175.056975095511,232.708200580351,2018,620
161.3,236.5,170.793509892173,231.274083530239,2019,620
158.6,240,168.213234201114,232.248790521812,2020,620
190.6,223,182.200423792761,224.801777581484,2014,621
143,171.5,125.405803124516,183.21503083672,2015,621
185,234,183.942547715337,232.246168697044,2016,621
150,224,161.248701462665,221.311171914302,2017,621
174.2,232.5,172.583305964947,227.90526522481,2018,621
159.7,230,167.766373398386,227.182551919875,2019,621
156,219,150.283519027051,218.093628019106,2020,621
165.6,239,179.001903251636,238.017051841015,2013,622
158,266,177.759940771339,250.643813974553,2014,622
135,184,113.579392489487,190.321614043901,2015,622
121,195,121.470134757675,199.513847262398,2016,622
159,232,162.749969374376,227.078565524924,2017,622
161.8,232,167.774658573765,228.389948451886,2018,622
173,235,168.369748619967,230.865865338487,2019,622
151.2,226,148.465173567234,219.037756118094,2020,622
68,82,50.2062263165142,81.1921652739562,2021,622
181.4,265,197.697033771165,245.995847343298,2017,644
159,242,168.955792665686,233.656826128144,2018,644
138.2,200,142.198677051099,212.035534338399,2019,644
135,252,170.47598612258,240.326387606348,2020,644
179.2,257,183.50499738601,250.56743359749,2016,645
124.1,223,133.788701674773,208.077957274505,2017,645
158.8,223,152.27857755979,230.333737095601,2018,645
159.8,243.5,169.042648309758,231.882743233395,2019,645
183.7,254,163.018855739337,234.759035669683,2020,645
212.6,258,199.566961456513,249.926200822765,2016,646
206.2,250.5,194.575095913264,248.665507973163,2017,646
174.3,230,172.853737839287,227.315504236554,2018,646
173,229,168.145374874057,227.077862884564,2019,646
179.4,240,180.038609413275,234.451254003415,2020,646
174.6,231,175.172681702912,223.816147952002,2015,647
