"q10","q50","w10","w50","year","HEXcell"
173,224,176.578143981102,222.924954846135,2019,507
171.4,215,170.813777569764,215.40078479765,2020,507
169,239,156.071121047324,230.242623680883,2017,534
154.4,212,155.828868982893,214.253466839329,2018,534
184.4,231.5,181.865632898129,229.573951224313,2019,534
130.4,207,128.02372820901,203.947936952465,2020,534
181.4,234,183.949311309114,231.636045089108,2017,535
132.5,222,137.835655485594,199.778872570865,2018,535
165,237,169.989459826342,230.03463246395,2019,535
168,217,160.791368302388,214.291452183809,2020,535
194.7,231.5,193.079840992368,231.230357123299,2019,536
167.5,206,151.389623644499,204.124667398399,2020,536
151.8,248.5,158.832083114915,227.577052068593,2017,562
148.2,204,141.90884006433,206.88679941284,2018,562
164.8,230,167.514861120633,228.173180435044,2019,562
149.5,193,128.99145966041,194.963082154488,2020,562
166.8,219,169.933729983364,219.075129189919,2018,563
160,214.5,147.497368225983,210.791327443493,2019,563
140.9,199.5,138.581072755037,197.458378692666,2020,563
158.8,197,147.498739970724,204.797498124134,2018,564
165.6,220,159.710815093202,220.957633870498,2019,564
165,229,179.09241056449,228.250192690714,2020,564
215,253,211.872293688893,247.956307117176,2013,567
176.6,226,179.083370204217,227.81387650777,2014,567
143.2,181,98.7138461864142,197.086079746574,2015,567
195,238,197.236474269282,233.085662037141,2016,567
160.6,247,173.352252387375,240.657429941447,2017,567
156.7,237.5,174.163475757403,231.285442064466,2018,567
211.5,255,203.388411737174,249.37289024695,2019,567
161.2,221,162.687763666315,222.072418163501,2020,567
160,246,162.474526786535,245.02744626966,2013,568
220,235,180.262248021773,238.951708679279,2016,568
225.7,238,207.188071529246,246.812738243745,2017,568
187.3,236,189.657071904466,235.11269538989,2018,568
218,246,208.330014878667,246.881057114898,2019,568
167,223,171.212925921105,221.439105711831,2020,568
164.2,255,174.40327698673,252.066766963569,2018,589
167.1,225,156.279274762002,224.821722957906,2019,589
159.5,178,134.848081119316,189.082690038756,2020,589
210,254.5,198.924713327979,257.132909749702,2016,590
161.7,224.5,137.630057521742,206.136780509404,2017,590
152.6,213,151.100727598591,214.846893238209,2018,590
169.2,244,176.638633770532,239.32193420619,2019,590
134.3,174.5,116.99969316116,188.999101256516,2020,590
153,230,148.693294563926,217.739142844833,2017,591
152.7,221.5,144.306915701652,218.919452770142,2018,591
161.3,241,174.813501357382,234.869674605213,2019,591
159.9,218,159.853967163509,223.025165325201,2020,591
146,221,158.0463172196,218.940371578009,2018,592
160,243,176.268645406296,235.145924980695,2019,592
158,237,161.438984403188,226.596179110207,2020,592
169.4,179.5,133.11891921751,192.129357173138,2020,593
192.4,234,192.591923325333,232.994273426439,2013,594
162.1,218,164.756089478,217.679954537304,2014,594
172,233,169.051598779049,232.525080610345,2015,594
151.8,226,153.041825900057,219.267672496678,2016,594
203.6,252,198.739808860052,247.84990756148,2017,594
154,232,162.353043328014,224.294597271327,2018,594
196.5,246,198.958781671659,243.21940019947,2019,594
156,221.5,159.480113735364,219.76357257954,2020,594
173.1,228.5,177.108499706063,219.217916841057,2012,595
161,232,167.072750915166,225.118124877168,2013,595
147,203,127.917912265103,210.197511562112,2014,595
142,214,140.087219176958,203.953873860882,2015,595
127.9,222,131.026897209346,211.168057633294,2016,595
150.2,242,155.214224534872,227.460521565885,2017,595
