"q10","q50","w10","w50","year","HEXcell"
173,224,175.011519677868,222.799162903125,2019,507
171.4,215,167.497354732145,215.943146165976,2020,507
169,239,158.548984724318,231.376272257319,2017,534
154.4,212,157.568492395808,214.578554652302,2018,534
184.4,231.5,182.048390820037,230.238656449234,2019,534
130.4,207,129.282655107066,204.343133640634,2020,534
181.4,234,180.145286292467,230.948603296375,2017,535
132.5,222,138.916154995093,199.971714642568,2018,535
165,237,168.352977557919,230.378786678157,2019,535
168,217,161.440384048741,213.768256583839,2020,535
194.7,231.5,193.571463170994,229.766295625292,2019,536
167.5,206,150.79633890708,203.746145168868,2020,536
151.8,248.5,155.881005618117,227.461930124803,2017,562
148.2,204,143.538435313424,208.50028531308,2018,562
164.8,230,165.621858692217,227.512795530754,2019,562
149.5,193,128.57817131376,195.231437537359,2020,562
166.8,219,170.355310506567,219.052451597141,2018,563
160,214.5,149.340684606798,211.039706162773,2019,563
140.9,199.5,140.432858562115,196.620749794218,2020,563
158.8,197,147.578756776005,205.449246949975,2018,564
165.6,220,160.985774212505,221.543343954279,2019,564
165,229,179.250169238163,228.279156061775,2020,564
215,253,212.823708818668,247.78366863996,2013,567
176.6,226,179.194748213015,227.966657419506,2014,567
143.2,181,102.92391187529,196.716611547762,2015,567
195,238,196.697995863552,231.534198741676,2016,567
160.6,247,172.769109891995,240.902875430615,2017,567
156.7,237.5,175.090328412815,230.695333528018,2018,567
211.5,255,203.690314692236,249.530549595682,2019,567
161.2,221,162.704811290122,221.514157261022,2020,567
160,246,157.751468554256,246.103624388864,2013,568
220,235,180.181557219261,241.00714774544,2016,568
225.7,238,208.004481082575,246.638736234837,2017,568
187.3,236,190.123797126589,234.866039196342,2018,568
218,246,208.615835163892,246.739392173819,2019,568
167,223,171.216653640287,221.769695305083,2020,568
164.2,255,167.479605811707,250.211216966629,2018,589
167.1,225,157.16579595152,223.846122118751,2019,589
159.5,178,134.759572033551,190.277493554778,2020,589
210,254.5,197.838232454445,258.01471592724,2016,590
161.7,224.5,137.670917700796,204.011639580081,2017,590
152.6,213,149.3341651364,214.422662393465,2018,590
169.2,244,178.103974906943,238.756885092748,2019,590
134.3,174.5,116.46144438421,189.157211157607,2020,590
