"q10","q50","w10","w50","year","HEXcell"
174.3,223,172.067387210586,220.74506120062,2019,507
171.1,211.5,164.678919711025,211.218789247201,2020,507
169,239,159.461832430881,229.977049243709,2017,534
155.6,208,154.73875212693,211.027379057076,2018,534
173.3,230,177.741950927306,227.155558068013,2019,534
132.8,198,127.805643937063,200.877479840648,2020,534
183.4,226,180.247043279065,229.638876496289,2017,535
132.9,216.5,139.40303380947,199.893697352816,2018,535
168.8,232,164.226197576211,224.712135778215,2019,535
167.2,210,159.657810198311,211.242770545515,2020,535
189,223,186.561525532043,227.126154315526,2019,536
171.9,201.5,151.750958584432,203.399141581072,2020,536
157,246,156.042131339198,224.182377025318,2017,562
153.2,201,141.989720363986,204.115169139322,2018,562
163,220,159.104884092027,222.02504743675,2019,562
150,195,129.746870014254,195.913453668096,2020,562
141,216,117.87925477947,203.436717182404,2017,563
172.4,219,170.876279541672,218.140540982682,2018,563
162.5,216,152.33658542736,212.408401375877,2019,563
140,200.5,141.396444003496,196.643668264768,2020,563
159.6,197,150.74573186167,208.30266418134,2018,564
167,218.5,161.157484381763,222.332783166241,2019,564
165.2,227,175.507425542123,225.011286932663,2020,564
213.2,247.5,208.867766586088,247.040256349075,2013,567
184.6,226.5,183.870927189961,229.218358781797,2014,567
143.2,181,103.916154559737,195.437559475322,2015,567
198,240,176.77524129995,238.104426993483,2016,567
163.1,245,177.479102315613,240.504589542537,2017,567
157,235,173.727831808616,229.929315234867,2018,567
207,251,200.510308349425,247.032074812936,2019,567
160,220,160.835737613346,220.048645158809,2020,567
171,246,162.767353900208,248.349900333964,2013,568
220.2,238,184.167656951707,239.24988643272,2016,568
227.4,239,208.178156246798,246.923078247037,2017,568
187.5,234.5,188.079034993971,233.530438675527,2018,568
217,246,208.152563260964,246.193870309293,2019,568
167.7,222,171.405770975818,220.955610345795,2020,568
168.2,236,161.912308215474,239.21115093457,2018,589
167.2,215,157.023964699817,225.688689686267,2019,589
160,180,138.106317666763,192.145308664716,2020,589
219.6,265,204.71695301175,260.644637663015,2016,590
167.4,222,139.047640360779,210.177237775996,2017,590
153.2,215,152.023956534928,213.245485661001,2018,590
166.4,241,172.679553009194,235.992036607783,2019,590
141,172.5,117.655928321098,189.085697360483,2020,590
153.8,227,152.320388159466,217.437312821673,2017,591
153.8,217,145.014072052606,217.724206532213,2018,591
161,240,173.722951226302,233.836085560024,2019,591
161,217.5,160.058068521557,222.025522993809,2020,591
166.7,212.5,158.459079714121,216.735758804559,2018,592
166.2,228.5,169.239330278301,229.428738304472,2019,592
158,231,162.347067184126,224.005676933445,2020,592
169.4,179.5,133.158803381187,193.20228896774,2020,593
192.4,234,192.664038372823,233.564535987412,2013,594
162.7,218.5,167.354086661913,220.03626184556,2014,594
174,230.5,166.584671104792,230.076514635752,2015,594
151.8,226,150.796923667218,218.70479650835,2016,594
198.2,244,196.338342040912,245.516747896906,2017,594
