"q10","q50","w10","w50","year","HEXcell","code"
165,176,149.704033813774,173.704384970085,2020,507,"RL"
156,159,121.226642937164,159.586034691473,2018,534,"RL"
176,176,149.387458704533,185.639994510119,2019,534,"RL"
150,160,132.716498895295,164.641036673188,2020,534,"RL"
150,160,127.0058828276,167.768365834176,2020,534,"RP"
169,170,141.364869872333,179.089230225294,2020,535,"RL"
169,169,138.68235368446,184.346830372406,2019,562,"RL"
149,173,127.780324917317,179.208344195569,2020,562,"RL"
149,168,130.061162214126,175.220527961574,2020,562,"RP"
178,179,154.753440118823,180.021915952395,2019,563,"RL"
157,168,133.648750543508,173.194975879634,2020,564,"RL"
156,208,154.156005011012,208.646069231655,2013,567,"RL"
154,193,143.631250702641,194.076849903418,2014,567,"RL"
155,175,137.475186098146,189.383495975323,2015,567,"RL"
155,177,134.104173458072,184.642324209505,2016,567,"RL"
159,178,138.503067996109,192.605742582642,2017,567,"RL"
158,187,144.73350011841,190.057480234711,2018,567,"RL"
157,178,143.954781118998,188.606560155349,2019,567,"RL"
154,168,141.222033391795,173.360133859189,2020,567,"RL"
134.8,169,121.06343867793,188.58744128486,2013,567,"RP"
138,166,118.257183227956,178.234854547465,2014,567,"RP"
144,171,124.549327939139,175.861239285816,2015,567,"RP"
149.1,176.5,124.553992012018,178.669341072369,2016,567,"RP"
154.3,161,118.695334082379,174.178057188144,2017,567,"RP"
148.2,168.5,121.582439193044,174.291472494471,2018,567,"RP"
157,173,134.738476820794,177.394305750156,2019,567,"RP"
135,162,127.949671349399,160.48723140979,2020,567,"RP"
170,170,148.097630213539,178.560982671133,2018,568,"RL"
187,223,182.674604236803,223.52576919147,2019,568,"RL"
167,200,164.513182092058,201.361860104883,2020,568,"RL"
127,190,144.183382376018,189.717483492214,2017,589,"RL"
146,216,157.346223452721,219.721256196424,2018,589,"RL"
152,217,149.597667385089,201.453585176687,2020,589,"RL"
152,217,162.640329836698,206.743576450354,2020,589,"RP"
168,181,147.819756786656,180.525776087595,2017,590,"RL"
153,159,134.69712360203,180.025473968229,2018,590,"RL"
154,188,141.840371152328,193.351200763656,2019,590,"RL"
164,187,152.521681476183,191.337094128665,2020,590,"RL"
153,159,139.896241541572,185.261710042284,2018,590,"RP"
154,212.5,162.62098751777,206.015392679335,2019,590,"RP"
159,202,154.115914679546,196.138433879683,2020,590,"RP"
158,168,145.436815811258,167.580790180524,2014,591,"RL"
182,182,161.486009705801,195.361061004143,2017,591,"RL"
162.4,185,135.785007773413,188.489380497451,2018,591,"RL"
162,162,127.06162932299,190.490439866445,2019,591,"RL"
167,193,164.076673470081,192.400938409184,2020,591,"RL"
158,163.5,142.174120888543,164.52135870291,2014,591,"RP"
163,214,170.691991317627,207.192016617546,2020,591,"RP"
167,167,139.307119895038,183.871487458748,2020,592,"RL"
197,225,196.143851840574,223.059476078892,2013,594,"RL"
139,170,119.101149183159,170.680957598784,2014,594,"RL"
157,178,130.662639174467,195.573642841879,2015,594,"RL"
162.6,204,150.561687473201,205.918280873159,2016,594,"RL"
159,168,129.158344893287,187.939737930697,2017,594,"RL"
153,192,143.812529732973,195.085814441761,2018,594,"RL"
152,163,133.332857243318,181.953455541937,2019,594,"RL"
153,161,131.104799147579,169.231154322427,2020,594,"RL"
135.2,146,108.35192189502,156.21890489927,2012,594,"RP"
196,225,184.184819392326,231.490476261947,2013,594,"RP"
131,170,122.58470245738,178.527166945793,2014,594,"RP"
141.5,166,130.239720956018,180.409974471482,2016,594,"RP"
140.1,168,126.240168513237,180.731835394815,2017,594,"RP"
149,177,130.820117343575,179.808232220983,2018,594,"RP"
152,185,142.765672891719,198.569535690526,2019,594,"RP"
153,161,125.004169799644,168.705516814937,2020,594,"RP"
167.2,184,146.378550935904,184.660915816371,2014,595,"RE"
156,173,148.62026911968,176.067550176782,2020,595,"RE"
161,161,137.480993043134,175.763126194823,2011,595,"RL"
161,192,153.759036303806,198.647524353841,2013,595,"RL"
153,186,142.341331227979,189.59823009808,2014,595,"RL"
148.8,187,142.814328194619,186.907990358671,2015,595,"RL"
150,170.5,132.804471069897,176.424397685187,2016,595,"RL"
162,183,135.753339401199,189.057828587612,2017,595,"RL"
173,189,154.810586245309,197.54338847696,2018,595,"RL"
173,203,156.066789884291,205.084148490969,2019,595,"RL"
156,176,143.434737664589,183.686541074843,2020,595,"RL"
148,184,140.153697631727,193.091905457796,2013,595,"RP"
140,166,123.003229721632,174.177973624725,2014,595,"RP"
134,164,120.258172452066,172.85744375324,2015,595,"RP"
131,154,117.844851040531,168.711802367242,2016,595,"RP"
151.6,176,125.047979694039,184.294925378904,2017,595,"RP"
139.5,189,145.882906083908,191.462057900096,2018,595,"RP"
141,187,137.470951523044,191.29225676662,2019,595,"RP"
141,171,129.498990418824,176.172270483426,2020,595,"RP"
151,152,134.58288886465,190.010097977245,2014,617,"RL"
145,145,108.40550995193,145.502065374111,2015,617,"RL"
149.5,176,124.403131636268,195.763321490934,2016,617,"RL"
128,221,140.335301125997,200.277139231574,2017,617,"RL"
203,205,179.08348784385,214.719259722216,2018,617,"RL"
171.5,263,189.135147076071,249.211511323655,2019,617,"RL"
152,192,130.577785643721,209.296207970637,2020,617,"RL"
128,206,136.348610059045,196.318412129714,2017,617,"RP"
198.1,205.5,174.945464837882,213.634118767407,2018,617,"RP"
158.8,226,167.749977470567,233.069841963292,2019,617,"RP"
119.8,192,117.846513337827,189.121699548909,2020,617,"RP"
212,215,178.951275629669,223.644994310298,2019,618,"RE"
152,210,153.181630066041,195.612053144834,2020,618,"RE"
157,157,112.582961787485,155.976383484343,2017,618,"RL"
153,160,139.831023605269,184.427220826809,2018,618,"RL"
212,216,180.865472059149,226.656551625727,2019,618,"RL"
152,210,150.801780892006,194.544053577809,2020,618,"RL"
153,160,138.4359253114,185.303097203081,2018,618,"RP"
209,214,177.839295135458,222.583952512193,2019,618,"RP"
152,210,158.462293196718,198.875889969148,2020,618,"RP"
153,205.5,146.206747489956,200.908028220474,2013,619,"RL"
163,206,172.125362326751,201.49799524183,2015,619,"RL"
149,204,154.547683623333,208.512853807179,2017,619,"RL"
185,223,185.339772458213,221.674386884463,2018,619,"RL"
177,229,170.040081094116,218.105076704535,2019,619,"RL"
153,178,136.504928901526,188.860571837806,2020,619,"RL"
153,218,163.230688353634,210.118773690076,2013,619,"RP"
157,213,174.952161541881,203.474536622862,2015,619,"RP"
142.8,204,134.69525261998,195.520016187898,2017,619,"RP"
214,223,194.784942570839,223.842563393362,2018,619,"RP"
151.8,208,141.399673000487,196.873185565453,2019,619,"RP"
151,176,134.852277499821,186.207906202059,2020,619,"RP"
151,166.5,119.371163886996,184.025638529964,2018,620,"RE"
142,222,152.673997278274,204.456773611188,2019,620,"RE"
165,225,186.65115543235,220.906399748639,2020,620,"RE"
191.8,200,177.822052781893,201.0590246731,2012,620,"RL"
145,206,136.326867146073,182.23733121448,2015,620,"RL"
141,155,112.513521992595,161.258105844003,2016,620,"RL"
160,200,161.840356287256,200.690836257146,2017,620,"RL"
151,167,119.261649235025,185.4389807749,2018,620,"RL"
142,222,157.456943876888,208.179820073452,2019,620,"RL"
165,225,187.097116860887,221.608016922695,2020,620,"RL"
81,200,135.340908960631,184.931152195032,2012,620,"RP"
145,206,135.382705744128,183.826634727268,2015,620,"RP"
141,183,131.331758283364,182.003691544311,2016,620,"RP"
160,200,156.187704827417,197.781222470418,2017,620,"RP"
151,167,120.815786030022,185.853202601847,2018,620,"RP"
142,219,156.592677230796,206.269058789072,2019,620,"RP"
165,224,187.357043857058,220.743970515329,2020,620,"RP"
162,173,138.824078981459,191.726127038711,2018,621,"RL"
181,226,176.060574315329,218.926663203802,2019,621,"RL"
149,207,156.043146908398,199.736466003809,2020,621,"RL"
149,210,158.549762720208,204.723235975255,2020,621,"RP"
173.8,228,189.540189350988,224.981488108065,2019,622,"RE"
156,219,159.834589858386,203.973170840566,2020,622,"RE"
173,188,167.379344860273,200.300755689221,2006,622,"RL"
175,183,152.526530365462,184.47930974062,2007,622,"RL"
126,218,147.817542527884,200.392367270774,2013,622,"RL"
144,186,125.116965258387,181.567139267715,2014,622,"RL"
150,192,151.805866411836,194.822299581312,2015,622,"RL"
156,223,171.421961040201,226.011949889959,2016,622,"RL"
151.6,229,158.156586769573,211.56710299724,2017,622,"RL"
167,226,186.69121211393,219.66354683446,2018,622,"RL"
160,227,186.252732278504,223.968069728478,2019,622,"RL"
