"q10","q50","w10","w50","year","HEXcell","code"
159.5,183,158.546984198648,183.290858817383,2018,507,"RE"
168,187,165.681222548142,188.195156428773,2019,507,"RE"
156.3,178,151.891702199036,179.872939368226,2020,507,"RE"
170,199,160.140154289623,191.660010528653,2014,507,"RL"
153,189.5,147.623979459339,190.816838750576,2017,507,"RL"
156,186,154.288708066969,188.43749970641,2018,507,"RL"
168,192,146.215091093528,194.356664031888,2019,507,"RL"
155,183,145.246480984091,184.842069571198,2020,507,"RL"
148,169,131.578421975662,178.599765754733,2018,507,"RP"
151.5,178.5,141.420134706991,184.68319601177,2019,507,"RP"
143.3,171,131.985985430669,178.076296595603,2020,507,"RP"
156,175,129.154722923947,175.762711336889,2017,534,"RE"
155,171,131.609935853788,175.818704182985,2018,534,"RE"
151,171,128.605562182844,178.119706396457,2020,534,"RE"
152,170,124.728200956284,184.67154471369,2017,534,"RL"
155,176,134.629297532177,184.38109439073,2018,534,"RL"
162,201,150.326667658137,206.941069840906,2019,534,"RL"
153,184.5,140.999887174004,192.578065399207,2020,534,"RL"
125,165,109.955978222382,175.250092252382,2017,534,"RP"
151,176,138.448037375284,184.820980508279,2018,534,"RP"
162,210,147.251251365591,205.322674621563,2019,534,"RP"
151,198,146.312091435854,196.74168773427,2020,534,"RP"
164,188,156.782970560547,188.170430147512,2014,535,"RL"
162,178,133.249307211931,192.59244638419,2017,535,"RL"
151,181.5,141.750685979244,182.736746357158,2018,535,"RL"
173,197,152.123447787312,203.705669776297,2019,535,"RL"
164,184,146.703375754381,190.592387534558,2020,535,"RL"
145,169,127.477502793319,172.921676828064,2020,535,"RP"
160.1,189,155.77839734212,191.535835461171,2018,536,"RL"
168,186,150.352640909809,187.705323085511,2019,536,"RL"
152,179,130.379455412934,182.229945248853,2020,562,"RE"
135,167,118.311698132247,174.093487371458,2012,562,"RL"
155,166,126.050935113543,169.880485083264,2014,562,"RL"
143,173.5,122.358185578594,182.201451246602,2015,562,"RL"
154,181,132.118362022402,194.275076657653,2016,562,"RL"
142,189,125.407085463637,194.321148812377,2017,562,"RL"
143,186,133.895722797258,187.028539070162,2018,562,"RL"
164,202,152.952175878932,204.73440229708,2019,562,"RL"
154,190,140.509848936649,195.221024118671,2020,562,"RL"
110,180,112.46691495053,180.110701048401,2016,562,"RP"
142,189,123.875428486061,190.211634504344,2017,562,"RP"
135,188,131.838295305721,185.870944699339,2018,562,"RP"
155.6,209,155.067296527448,205.104195678741,2019,562,"RP"
151,199,144.544997430939,197.333795479043,2020,562,"RP"
