"q10","q50","w10","w50","year","HEXcell"
172.8,202,164.143589598282,203.110759263728,2017,507
154.4,196,138.437845491053,192.723138043386,2018,507
164.5,217.5,164.980506212322,215.943520245758,2019,507
161,207,153.375799052387,206.052058957241,2020,507
136,174,68.6105065095755,163.38419031068,2014,534
142.5,197.5,125.644904584937,201.617866015888,2015,534
140.9,215.5,137.496339707516,205.826043952241,2016,534
142,217,134.285049560399,213.335836188785,2017,534
151,209,147.326328390763,211.354551861615,2018,534
159.6,215,153.260721520162,215.497509543405,2019,534
122.9,199,124.30075543317,199.463884212986,2020,534
153.2,234,162.082692531707,218.857574921463,2016,535
174.1,233,162.212104295202,229.314716876345,2017,535
133.2,200,128.870522041986,199.741116665444,2018,535
168.3,224.5,163.992060935445,224.907931667757,2019,535
158.3,205,151.566362277249,205.926033876237,2020,535
149.9,205.5,105.54569894212,188.360054202033,2017,536
134.5,196,135.132461060731,198.858691930512,2018,536
170,215,165.867272369158,217.265083732509,2019,536
156.8,204,151.1200198495,206.402944728868,2020,536
147.5,231,140.314949317059,219.424595755968,2016,562
146.7,217.5,145.916140524124,211.656669695913,2017,562
155.1,213,150.629882503592,214.147533132746,2018,562
159,216,149.146836785753,215.480702279574,2019,562
137,206,132.548469342376,205.374971119807,2020,562
165.1,232.5,165.019048776624,225.57581527315,2016,563
158,217,141.779769455696,219.594116228344,2017,563
167.7,216.5,161.529456291911,219.510251821172,2018,563
164.2,221,159.024909952637,220.876709014662,2019,563
148.4,207,139.261968008696,208.738050627757,2020,563
135.4,161,119.99267371198,163.608689111171,2010,564
150.9,200.5,142.694638836933,201.095750176934,2015,564
151.3,189.5,142.971120591917,200.016702610134,2016,564
155.3,210.5,150.831900415467,211.353702509883,2017,564
152.8,200,147.328891805662,204.806546625858,2018,564
167.3,221,160.046922743409,225.186518235795,2019,564
163,218,159.046496384294,218.970192829488,2020,564
158.9,221,106.361418698829,201.417286167322,2013,565
195.4,231,189.823259589084,227.514760966244,2014,565
144.6,184.5,131.518488576466,192.590919423808,2015,565
181.2,215,162.726905127241,224.689212594244,2016,565
161.8,224,163.402838998732,219.750811039143,2017,565
159,212.5,154.791287190814,213.246791478849,2018,565
185.9,230.5,178.970580246358,233.223217178328,2019,565
169,215,161.512750224099,217.280778085783,2020,565
193.6,226,186.735426378398,236.26715046436,2006,566
113.6,183,112.283383180871,181.889370655016,2007,566
165.2,197,142.590938454765,216.482419850072,2008,566
154.2,193,147.356776302287,209.138816217694,2009,566
132.3,189.5,120.037667345171,192.559850626634,2010,566
155.5,214.5,159.552069152067,213.374136874079,2011,566
148.2,185,126.325251939171,196.831367104558,2012,566
159.7,226.5,159.953023408171,227.37400419886,2013,566
174.6,228,177.096056825245,225.678202075591,2014,566
148.8,196,136.044099445488,200.488868901297,2015,566
151.2,193,139.507895021037,204.067007304776,2016,566
148.2,208,141.600980393914,209.70606013109,2017,566
149,219,146.75539291607,218.36300314768,2018,566
187,237,184.891020812754,238.374654624725,2019,566
144.3,206,136.833240914897,206.752411192385,2020,566
179.8,247.5,179.583659839094,244.347072486411,2011,567
183.2,228,165.862901977061,226.134737471015,2012,567
149.2,231,153.492663484343,221.160630539727,2013,567
150.3,236,165.937544413963,229.217633449097,2014,567
143.7,222.5,138.992403664634,212.187809962382,2015,567
149.1,201,134.556801728799,206.940083573297,2016,567
155,236.5,157.859020718329,228.815923021127,2017,567
150.1,222,154.149981193625,219.636219563456,2018,567
177.2,238,173.701543939957,235.922867374301,2019,567
147,216,137.448657423528,214.770271769751,2020,567
126,235.5,119.21974635952,215.522341552151,2013,568
180.5,231.5,177.870211916914,225.505320256148,2014,568
201.6,238.5,200.750664583242,233.911927804616,2015,568
147.1,227,155.199879217342,221.611737647245,2016,568
164.8,236,171.77190349736,231.211110773466,2017,568
155.6,227,165.146337859659,223.424404091735,2018,568
192,243,191.503347094236,242.251283426224,2019,568
155,218,148.656703966006,215.377688271098,2020,568
159,212,142.68703250333,214.634317539751,2015,589
163.6,247,176.771678557916,237.411164004293,2016,589
157.1,196.5,136.436291143867,208.407453939247,2017,589
169.6,232,158.630473209385,232.092978093652,2018,589
147.3,226.5,145.739623321784,223.485490611215,2019,589
148.2,195,126.298905012725,197.813498204352,2020,589
118,146,106.51818379278,150.477236149183,2012,590
145.8,244.5,161.479851055511,233.94608166948,2013,590
146.6,191,125.457671231901,192.47592335053,2014,590
148.8,214,151.123747193714,211.933801861107,2015,590
150,234.5,153.349141327758,228.406916094327,2016,590
162.8,224,153.845887723366,223.098576399348,2017,590
156.5,213.5,150.58347845548,217.178590909107,2018,590
159.8,222,153.609996595502,222.843849400928,2019,590
132,205,131.346356893624,205.779422223745,2020,590
118,152,91.9083416289644,171.397656036794,2008,591
155.4,239,152.131357977953,220.989041201807,2014,591
137,218,141.784142222887,213.200362371045,2015,591
146.8,233,150.846808171215,221.226123539456,2016,591
154.2,220,154.015719019898,217.632998833836,2017,591
156.2,216,150.249581602889,219.691502251823,2018,591
161,223,156.324616624368,223.514293179798,2019,591
153,215,142.232378983904,214.200073512031,2020,591
184.2,225,170.864376509783,234.660157456001,2014,592
143.1,201.5,141.228084520411,195.814380750599,2015,592
158.8,237,151.550527421699,231.161713028597,2016,592
127,235,144.800628609414,220.816730169993,2017,592
167.4,225,158.840784049163,226.891159836676,2018,592
169.7,227,162.484675371708,226.695083476375,2019,592
152,215,144.442018363755,215.5766389589,2020,592
184.5,209.5,162.832916367139,219.065601814519,2005,593
196.2,234,184.801648955258,233.286242077378,2006,593
141.8,216,141.535786588557,209.474939313031,2007,593
169.8,215,162.127617598872,219.010981362412,2008,593
155.4,207.5,147.280520993738,212.05291999122,2009,593
122.2,194,116.44756017702,195.82220143945,2010,593
159.6,235,169.506858720188,227.005490499432,2011,593
146.1,204,139.711254461741,205.129661152809,2012,593
146.2,225,152.811674039972,217.785630692323,2013,593
157.2,225,149.436568119156,221.513045334048,2014,593
126.5,204.5,127.785258099567,202.126200160459,2015,593
140.6,217,136.972438606179,216.912751048552,2016,593
156,225,155.404194352523,222.847183750132,2017,593
153,221,149.945060869097,220.901148757974,2018,593
175,231,171.477522092943,232.609025203937,2019,593
139,208,132.781760605521,207.170139498389,2020,593
171.5,238.5,163.140181775643,229.233773027845,2009,594
179.6,226,177.95911851519,222.043355302189,2010,594
182.8,233,177.972460954701,233.040890825649,2011,594
185.8,211,173.258981429616,217.068527975108,2012,594
162,228,158.880795799181,226.840939414451,2013,594
139.6,210.5,137.754421952163,208.392126050698,2014,594
142.7,221.5,149.328184527008,219.958162515396,2015,594
141.2,224,125.616718865426,204.269525259683,2016,594
159,231.5,161.215886130143,226.992597934347,2017,594
149,217,146.426820336718,216.865424039809,2018,594
167,233,168.401856738419,231.535754778803,2019,594
151,214,142.623449223231,215.320730061591,2020,594
166.3,247,161.275298712656,239.116992593346,2006,595
170.5,223,164.115469147908,221.091385144253,2010,595
157.3,228,145.975004417602,221.864432392022,2011,595
152.3,228.5,166.044076625991,222.415979531637,2012,595
164.6,236,170.529123425403,233.426066482001,2013,595
136.2,209,133.464035672029,208.614755368637,2014,595
138.8,201.5,126.367889178223,204.796865056881,2015,595
128.5,210,122.576877962635,203.451986738037,2016,595
139,223,132.883392648382,215.098138090317,2017,595
140,217,134.96459518237,214.020127318939,2018,595
152,229,156.760711917227,225.70892755208,2019,595
128.7,212,127.333377454876,208.575326181131,2020,595
213,243,186.20093272832,246.092796010042,2016,616
197.5,239.5,191.399557790026,236.758507341776,2017,616
150,225,154.954344292926,223.234175288434,2018,616
139,210,140.721526243982,211.126887516575,2019,616
150.8,226,145.584993518748,221.4816596053,2020,616
136,211,136.642340119606,210.597898692468,2015,617
185.2,243,177.696985850459,241.317559034196,2016,617
158.4,236,149.150813900258,224.649949147693,2017,617
177.4,251,178.056154821492,244.325797680985,2018,617
146.4,236.5,159.263400548999,229.424688210191,2019,617
129.5,234,140.514755192084,221.144218828205,2020,617
159.4,236.5,134.835063439964,225.595316481169,2011,618
144.6,232.5,156.046822133537,225.420670344927,2013,618
164.5,228.5,168.111447100897,227.287823207586,2014,618
135.7,226.5,130.631284177465,211.014714103844,2015,618
137,234,135.055299884135,217.660805788144,2016,618
148.4,228,153.334898270622,222.739273365003,2017,618
163,226,162.857041327056,227.714971739856,2018,618
161,221,151.889066061052,222.941368961802,2019,618
148.7,210,140.056379077741,210.2928192325,2020,618
152.9,235.5,167.68453643284,228.94082739031,2010,619
153.4,245,167.261129718794,223.154612220786,2011,619
127.6,208,108.648736849393,200.750178173849,2012,619
185.9,246.5,186.249143558706,242.220429603712,2013,619
162.6,235.5,165.74754263877,229.980283281433,2014,619
157.1,223.5,157.63731097271,224.232385433147,2015,619
153.9,232.5,159.335005449726,232.415524314196,2016,619
150.8,233,158.82933846329,227.860419315946,2017,619
169,228,160.861680817319,229.004197403089,2018,619
165,227,162.472551499852,227.339701624072,2019,619
155,217,149.828134080401,218.003202495389,2020,619
152,219,118.077004140241,199.382934403312,2006,620
113.8,200.5,96.4861791948296,190.20426637876,2008,620
159.2,224,140.070182837991,211.874789229034,2009,620
136,223,150.819295290076,220.179189667482,2010,620
195,237.5,172.00652615769,240.712632298486,2011,620
144.6,228,144.27102265632,220.787614574434,2012,620
155.4,231,147.463619914196,224.692442398345,2013,620
154.5,234.5,163.740215667222,231.602212030031,2014,620
144,219,144.043621076381,215.530401902623,2015,620
130,215,133.90391654714,209.812255574726,2016,620
160.8,236,152.099204553854,231.512084922769,2017,620
158,224,152.341706442754,223.875285500227,2018,620
159,229,153.644013008018,226.803004620251,2019,620
148,217,140.340833506445,216.369763736748,2020,620
148.3,222.5,136.567987632415,208.38327800407,2010,621
196,231,175.879366348419,237.077788777774,2011,621
118.7,169,65.6362232463572,156.12917645091,2012,621
139.8,183.5,119.944798332856,197.296476896764,2013,621
163.7,230.5,156.513184458552,226.205504336342,2014,621
145.4,186,119.194712900846,194.575376803852,2015,621
154.8,235,163.712335971956,231.851710402827,2016,621
158.1,233.5,164.27491481175,229.988710813806,2017,621
158.2,222,152.383391384057,220.953365854274,2018,621
151,227,147.384791050569,223.344457312691,2019,621
148,216,138.264661278258,216.098607114574,2020,621
152.7,224.5,146.043661608659,218.388642977965,2003,622
131.4,147.5,91.4394845729136,170.983626543053,2004,622
130.2,177,111.286174283131,189.141576104779,2006,622
160,252,188.238697759675,245.463872649518,2007,622
114.2,184,51.7488307803064,159.741855389326,2008,622
121.6,233,109.120102409146,209.439576823311,2009,622
145.8,234,153.281828479749,222.901096001908,2010,622
156,232.5,162.941347473728,226.002238225822,2011,622
146.5,215.5,146.800783339146,214.859916758163,2012,622
154.3,225.5,160.552003056256,226.671778138087,2013,622
150.4,226.5,155.787799421946,230.686651459711,2014,622
135,192,125.73893778925,197.779052290166,2015,622
138,214,133.736936074763,209.906499210749,2016,622
147,226.5,151.462692981007,224.96320500628,2017,622
154,222,153.296594721018,223.127555497942,2018,622
159,225,155.237328015758,225.692009303148,2019,622
141,217,134.503594049252,214.646041056382,2020,622
