"q10","q50","w10","w50","year","HEXcell"
174.2,202,166.839573743771,202.882377023388,2017,507
150.4,193,138.328500113823,192.342485828334,2018,507
177.2,220,173.496393645708,219.041132053056,2019,507
164.8,207,157.589911025435,206.551429539402,2020,507
136,174,65.9023965689034,162.974765011784,2014,534
143,195,124.284971172864,202.607400511252,2015,534
141,213,132.913213913233,203.104947911063,2016,534
146.7,224,148.55619563153,219.063982361835,2017,534
157.9,215.5,158.44109410213,216.013803538157,2018,534
167,220,163.277676495511,218.662549690615,2019,534
140,198,130.438322918126,198.635044045576,2020,534
150,230,152.195580406139,212.815474075482,2016,535
182.2,231.5,168.415518240458,230.465899417871,2017,535
134.2,198,133.937301695493,200.138227452008,2018,535
178,232,174.466887990613,228.640508699981,2019,535
160,204,154.977016598364,205.967911474435,2020,535
152.6,205,107.329731424309,187.542663495791,2017,536
144.8,196,139.707133932107,199.223417971592,2018,536
170.2,219,169.961907794283,217.505211688516,2019,536
162.4,208,156.470743629171,207.535045930462,2020,536
147,224.5,141.206735555788,217.977724310061,2016,562
147,226,153.617557839168,215.850787338852,2017,562
159,215,156.056987668251,215.122224007602,2018,562
164,221,158.65932168199,219.371745066526,2019,562
148.5,207,138.235118920641,205.319707376277,2020,562
155.5,232.5,161.205582387357,222.17904851228,2016,563
156.8,217,143.559269989241,218.835506760072,2017,563
172,219,168.557426186595,222.376761461564,2018,563
168.2,230,169.094908736758,224.880540970737,2019,563
155.9,207,145.158122901728,208.79153513704,2020,563
135.6,155,116.301214708586,162.61677884142,2010,564
150.3,200.5,142.160899871434,197.958605849254,2015,564
146.8,196,138.634931023856,202.366663056182,2016,564
155.5,202,149.637242081496,204.627819984676,2017,564
153.4,200,147.886322190401,203.996963219297,2018,564
169.2,222,165.436420897295,225.763741187922,2019,564
172,225,170.64005031053,222.891800295612,2020,564
162.8,227,116.332101882564,209.239096138662,2013,565
193,235,194.352833751791,227.916543378807,2014,565
144.2,186.5,133.245733902783,193.638961185298,2015,565
183.6,211,161.040300805915,221.122194906025,2016,565
161,224,161.737185726712,216.74630092349,2017,565
162,211,159.846666484685,212.819254670127,2018,565
194,232,186.451400996468,235.086157032611,2019,565
179,216,168.532672975597,217.572385586277,2020,565
201.2,244.5,196.687600469781,242.606566127451,2006,566
109.4,183,108.220121386685,184.759951614343,2007,566
165.8,194,148.401404460442,216.333848194745,2008,566
155.4,234,158.766842020323,217.591842991612,2009,566
130.2,187.5,121.16054407139,195.605779712104,2010,566
173.6,216,166.561874968556,214.358421487621,2011,566
148.8,185,127.584663684988,196.013435639132,2012,566
162.7,213.5,163.19632066889,222.432269728683,2013,566
189.1,231.5,185.375296816947,228.920644881602,2014,566
150,200,143.185852216066,204.598647117616,2015,566
151,183,131.93812704807,195.404670137298,2016,566
151.2,196,140.56992541565,205.247922151627,2017,566
153,221,151.778092078993,218.931383562579,2018,566
199,243,197.158026179438,242.690715121855,2019,566
154,211,146.247998208656,209.178969206429,2020,566
205,247,181.186938128834,241.942684198394,2011,567
186.9,234.5,177.667616618737,229.641626419745,2012,567
155,234.5,166.691489305459,226.380299301195,2013,567
159.5,231,180.840697895136,232.957351418885,2014,567
144,229,147.218260506344,214.089410660164,2015,567
153,219.5,144.347759678896,211.336901238656,2016,567
161.7,245,178.162529731783,237.200252405137,2017,567
154,229,165.020563037062,224.36506025471,2018,567
199,244,192.572710321045,242.775257829188,2019,567
157,219,150.15805400383,218.834800356138,2020,567
109.2,240.5,125.653445284053,215.768290440814,2013,568
196.2,233,186.182845157984,227.764269871918,2014,568
201.4,241,203.91302836257,235.05006800951,2015,568
155,222,159.15314977679,220.976891724028,2016,568
177,242,188.969196525982,237.425209470538,2017,568
164.3,233,180.515223420186,230.428185243754,2018,568
214.9,248,207.653464089677,247.328000090187,2019,568
162,223,164.655387664807,220.152108441274,2020,568
161,212,156.902019944245,216.557420462157,2015,589
176.4,259.5,193.006191319809,250.144012672603,2016,589
159,196.5,141.570263296191,207.999894641231,2017,589
175.2,235,166.643814418426,233.540511002987,2018,589
160,241,161.348755337578,230.854898373367,2019,589
152,187,130.874056037108,195.253404399096,2020,589
118,146,107.403947477542,150.171608427983,2012,590
145.8,244.5,161.419278736827,232.889549227468,2013,590
146.2,169.5,117.85581507863,183.175133874533,2014,590
162.5,215.5,162.697339171695,214.753516343608,2015,590
157.2,247,173.561616168529,238.395890534323,2016,590
168,224,160.973102856764,222.194101146699,2017,590
156,216,153.620256090467,217.177706025629,2018,590
167,229,164.106508948285,227.375107394582,2019,590
149.1,200,133.593372176592,203.063903618882,2020,590
120,166.5,96.9690238356735,179.887632201784,2008,591
158.5,244.5,166.68366380347,226.292422679715,2014,591
138,219.5,146.442943600633,212.667171581802,2015,591
147.8,234,159.964028238775,224.030029732593,2016,591
164.6,224,163.83498108642,220.680658847877,2017,591
163.8,217,156.904679303245,219.952242466294,2018,591
168,230,168.683520482115,227.908682804724,2019,591
163,216,154.996417377858,218.359634891889,2020,591
186,249.5,179.404396266812,240.975230838506,2014,592
143.1,201.5,142.594335645321,197.528950983444,2015,592
160,236,161.276614160846,232.548288607641,2016,592
148.8,238,160.321601438746,227.161658264598,2017,592
180,235,172.988720517321,233.38702187489,2018,592
179.9,235,175.675710942901,231.895531051192,2019,592
158.1,219,154.899643917574,218.679151775173,2020,592
187,196,158.973068711321,216.392097251068,2005,593
196.2,234,183.960619514376,235.274225920619,2006,593
143.2,213,138.180427840855,206.399526933858,2007,593
173.3,215.5,168.842647334239,222.525821044304,2008,593
153,209.5,149.642312380788,213.740377524002,2009,593
116.8,192,114.908119361663,191.976359169815,2010,593
174.7,236.5,178.687439428322,229.498880855736,2011,593
148.8,212,147.225263432315,208.301488902454,2012,593
151.4,240,170.835286072717,228.586099064141,2013,593
163.2,230,160.980244284828,223.242428644342,2014,593
144,204,133.550707852197,202.339761027662,2015,593
147.8,213,137.061057640625,210.868870983774,2016,593
163.6,238,171.400741703574,230.710996642169,2017,593
162,231,167.974782424871,227.756443868188,2018,593
193,237,187.152372614815,237.611458484747,2019,593
157,210,145.609944603817,209.334333247185,2020,593
187.4,240,177.170551356108,238.197383140507,2009,594
181.4,219,180.172401170911,220.837609401652,2010,594
188.8,224.5,175.988669778617,229.831479775728,2011,594
