"q10","q50","w10","w50","year","HEXcell"
174.2,202,167.154374778427,203.195370507635,2017,507
150.4,193,139.362291257991,190.991578743741,2018,507
177.2,220,174.157964019353,218.977162843906,2019,507
164.8,207,157.582461242487,206.383675814418,2020,507
136,174,65.8865077869775,167.649652702278,2014,534
143,195,123.987182275408,202.905250489969,2015,534
141,213,132.752442667648,203.731873051851,2016,534
146.7,224,148.984073460912,218.548824517513,2017,534
157.9,215.5,158.542152260616,216.277742688884,2018,534
167,220,163.504644208675,218.938096245426,2019,534
140,198,130.621841552952,198.921873479866,2020,534
150,230,151.395646318694,214.887737134624,2016,535
182.2,231.5,167.866436568447,229.786792359333,2017,535
134.2,198,133.244177926933,200.900416091622,2018,535
178,232,173.507175042237,228.602462142684,2019,535
160,204,154.370561009973,205.706205914537,2020,535
152.6,205,107.380966910907,186.47117607978,2017,536
144.8,196,139.878629738521,200.913695549279,2018,536
170.2,219,169.648497885439,217.997576422589,2019,536
162.4,208,156.65420582928,208.278237089296,2020,536
147,224.5,138.698962384985,214.579410760516,2016,562
147,226,153.213614883879,216.766982210748,2017,562
159,215,156.463058198531,214.923797990337,2018,562
164,221,159.400877130999,219.337870626854,2019,562
148.5,207,138.199016808718,204.832534707565,2020,562
155.5,232.5,161.256193780613,223.309752202089,2016,563
156.8,217,142.384605149119,218.285974440139,2017,563
172,219,168.267518014097,222.284256601985,2018,563
168.2,230,168.94826400465,224.885432346781,2019,563
155.9,207,145.71526346704,208.721803705708,2020,563
135.6,155,117.057519452568,161.598327217476,2010,564
150.3,200.5,142.793078287326,198.839509407432,2015,564
146.8,196,139.499105768514,200.58864194867,2016,564
155.5,202,148.149420643633,204.879230601941,2017,564
153.4,200,148.074594712206,203.974777150037,2018,564
169.2,222,165.329675632775,225.825003332952,2019,564
172,225,170.52334112468,222.966337030611,2020,564
162.8,227,120.540997977072,207.336510091774,2013,565
193,235,192.971601702222,227.846213178468,2014,565
144.2,186.5,132.818712103048,195.065713945562,2015,565
183.6,211,162.567245528048,223.235736732984,2016,565
161,224,162.529421794942,218.042583004772,2017,565
162,211,159.410432273738,213.537441897833,2018,565
194,232,186.400502974619,234.687287038803,2019,565
179,216,168.450316962189,217.752740296579,2020,565
201.2,244.5,198.458875445237,243.619036475085,2006,566
109.4,183,109.499671476474,186.098006612069,2007,566
165.8,194,147.876431236193,216.624214219998,2008,566
155.4,234,158.126536836836,216.482928462341,2009,566
130.2,187.5,123.311810697883,194.436985058089,2010,566
173.6,216,166.413117534582,215.187117602238,2011,566
148.8,185,126.934054830245,195.521794573025,2012,566
162.7,213.5,164.207151051327,221.656655510414,2013,566
189.1,231.5,185.47579897499,228.860451965011,2014,566
150,200,144.012934957702,204.454604306395,2015,566
151,183,132.459023293699,195.373078456123,2016,566
151.2,196,141.187725876181,205.360240591653,2017,566
153,221,151.971553728316,218.802255673672,2018,566
199,243,197.229274249401,242.793225314377,2019,566
154,211,145.634103629227,209.37998824122,2020,566
205,247,182.035255865037,241.423026713809,2011,567
186.9,234.5,177.165733706665,229.951219010213,2012,567
155,234.5,166.295467850908,225.793881315046,2013,567
159.5,231,180.498405852107,232.967314793601,2014,567
144,229,146.804106312521,214.176787726682,2015,567
153,219.5,146.448260600224,211.057611974118,2016,567
161.7,245,178.322938501011,236.705362810053,2017,567
154,229,164.748014731672,224.145562559817,2018,567
199,244,192.498935066091,242.625997204249,2019,567
157,219,150.444216528008,218.758472458307,2020,567
109.2,240.5,123.5206040281,215.756963347646,2013,568
196.2,233,185.632400768831,227.183982588616,2014,568
201.4,241,204.378782173662,235.310088896606,2015,568
155,222,160.262323861595,222.005709686914,2016,568
177,242,188.441123581375,237.734639048402,2017,568
164.3,233,180.611907774329,230.36893735966,2018,568
214.9,248,207.458019897292,247.48264936249,2019,568
162,223,164.643510695102,219.945052081479,2020,568
161,212,155.365711025726,218.050946973595,2015,589
176.4,259.5,192.866527722439,249.715635109869,2016,589
159,196.5,135.061327937301,208.245573403445,2017,589
175.2,235,166.377441622344,233.784504153823,2018,589
160,241,163.131007038386,230.801520168558,2019,589
152,187,131.43907918385,195.617999481629,2020,589
118,146,105.674109794957,148.858935202303,2012,590
145.8,244.5,162.835539731495,233.415088550885,2013,590
146.2,169.5,116.643253006731,182.65949553376,2014,590
162.5,215.5,160.973572633513,214.840078433811,2015,590
157.2,247,171.933934844225,238.448625907451,2016,590
168,224,160.859302509254,222.146372804089,2017,590
156,216,153.387472689728,216.999469598734,2018,590
167,229,164.278469350491,227.312866540774,2019,590
149.1,200,133.883291347645,203.011882207523,2020,590
120,166.5,97.0917834582428,176.505235714233,2008,591
158.5,244.5,162.424878184399,229.53275270165,2014,591
138,219.5,146.251267785553,213.53132734619,2015,591
147.8,234,158.591727700248,224.651765324106,2016,591
164.6,224,164.55697564466,220.717458359985,2017,591
163.8,217,156.534852139722,219.931371463035,2018,591
168,230,168.72128542757,228.048738488943,2019,591
163,216,155.262339174827,218.303179420939,2020,591
186,249.5,183.53905913588,238.350852029832,2014,592
143.1,201.5,142.870162800328,196.124030712786,2015,592
160,236,162.332964881031,233.457886322302,2016,592
148.8,238,160.624122112598,227.180337225431,2017,592
180,235,173.617277659363,233.516473986041,2018,592
179.9,235,175.408139232775,231.619374197152,2019,592
158.1,219,154.86661838688,218.672346859529,2020,592
187,196,163.678114778276,216.386550001491,2005,593
196.2,234,185.849576409352,231.830181650738,2006,593
143.2,213,139.331899422261,207.014230239456,2007,593
173.3,215.5,168.141814015411,222.38883367314,2008,593
153,209.5,151.129340795212,214.861020976396,2009,593
116.8,192,115.646507294793,191.471603746818,2010,593
174.7,236.5,178.56291973696,229.654724571204,2011,593
148.8,212,146.964992138561,208.608337631247,2012,593
151.4,240,170.432708368242,229.019938086931,2013,593
163.2,230,160.053980875163,223.614439635907,2014,593
144,204,132.885843561662,203.07533571147,2015,593
147.8,213,137.171254900081,211.337378569363,2016,593
163.6,238,171.650727653063,230.636982346536,2017,593
162,231,167.600363506979,227.727472210977,2018,593
193,237,187.128248495184,237.613152053124,2019,593
157,210,145.820220316928,209.364887526823,2020,593
187.4,240,177.806903504322,239.563327711344,2009,594
181.4,219,182.808226643698,221.801423801293,2010,594
188.8,224.5,174.482317984827,229.738138449049,2011,594
187.4,210,173.023762319738,215.612314271754,2012,594
164.4,230,165.873725199511,227.960987342292,2013,594
152,219,151.57444400821,215.330181593343,2014,594
148,235,155.494447410124,222.899187550627,2015,594
138.8,224,132.296922088732,204.208437526687,2016,594
168.2,235,175.671922601875,232.178811855741,2017,594
154,224,158.374330682578,220.817064930385,2018,594
186,239,185.568987697977,237.840598167906,2019,594
159,221,155.750704935573,219.959741010663,2020,594
166.6,235,153.743641989099,234.088483131598,2006,595
172,224,167.919346906745,221.378812407267,2010,595
166.2,234,156.157573320686,227.002925875207,2011,595
154.4,232.5,177.090742735515,226.366741922288,2012,595
161,235,172.281597444481,230.812062344036,2013,595
140,200,129.744235543072,201.274980203938,2014,595
139.4,200,130.279076020611,204.545606315225,2015,595
137.9,227,137.48119817775,214.14466495935,2016,595
151.4,240,153.250948241986,226.245472340482,2017,595
148,231,154.742539457923,223.16635770212,2018,595
178,239,181.98104558003,236.76148199285,2019,595
149,218.5,146.350858693884,215.033812456104,2020,595
221,241,189.320336566721,243.845331009843,2016,616
200.8,239,201.500969319331,237.671984214316,2017,616
160.3,244,176.378982366365,235.802388799188,2018,616
155,235.5,159.979382303127,222.489710362233,2019,616
156,236,158.009468251802,228.010819497057,2020,616
136.1,210.5,138.601213115855,212.096750642203,2015,617
190.2,245,181.663325850181,243.970656377731,2016,617
168.5,250,171.41970434208,238.090947468614,2017,617
187,248,183.904151488854,245.795720902385,2018,617
152,246,173.361222392125,236.89863196908,2019,617
142.7,251,163.761202532693,234.494994724649,2020,617
159.4,236.5,136.818387120655,227.127662647875,2011,618
147,236,162.961205721097,229.402815974145,2013,618
189.5,234,175.66050787341,232.704228522414,2014,618
134.4,227.5,138.713512993613,215.12342303622,2015,618
149.2,240,158.166811646819,227.634082010942,2016,618
157,238,168.430713910438,227.875929739038,2017,618
166.2,231,170.791856653242,230.560178285304,2018,618
168,222,156.685593880807,222.227869486515,2019,618
159,213,149.448856444516,212.1426299086,2020,618
157.8,237,170.861107588579,228.717921150297,2010,619
156.9,246.5,185.071431209695,231.99034141019,2011,619
128.2,197,104.403488387797,195.822210159247,2012,619
188,251,198.612740759915,249.043327699225,2013,619
170.2,240,175.009969060868,234.138463041471,2014,619
159.2,236,168.885484868722,232.963122351263,2015,619
155.8,232.5,160.93634040504,230.891399627173,2016,619
166.3,242.5,171.392140809087,234.124467154386,2017,619
180.6,236,173.124523930836,233.227240874876,2018,619
180,236,177.19991609425,232.780123348562,2019,619
165,225,163.771556093027,223.932506552638,2020,619
160.7,217.5,131.33108187089,202.800594800654,2006,620
101.8,219,98.1001298133961,190.364029922596,2008,620
163.8,224,152.615285892655,215.708510477025,2009,620
136,223,155.605129426194,221.073891459608,2010,620
196,246,181.045139600949,241.550039742179,2011,620
153,223,149.924421185499,219.719782457526,2012,620
168.9,241,157.726295750231,230.673161625894,2013,620
180.6,237,175.095215690614,235.986029877499,2014,620
155.2,232,159.003752224879,223.947946476974,2015,620
141,223,141.741450912798,213.344038502141,2016,620
177,246,176.996699012792,241.264738064729,2017,620
167,232,166.769135654724,229.862404874727,2018,620
181,235,173.658118285367,233.569799719609,2019,620
159,225,157.068468290003,223.395477672598,2020,620
158,224,141.259414032499,213.328962649972,2010,621
197.5,239,181.834120166498,243.544355712021,2011,621
125,176,72.8321477111492,157.668655684248,2012,621
147.8,204,134.057694499123,208.104438892048,2013,621
179,235,170.761338515898,231.229754291493,2014,621
145,181.5,117.925388045919,193.231039319598,2015,621
156,235,171.251299064859,230.552087747628,2016,621
178,237,176.686061221901,234.001347870349,2017,621
166,232,166.119285953746,226.802695951441,2018,621
168,235,168.23747730398,231.54517574843,2019,621
156,220,148.483818540588,218.886508075014,2020,621
156.9,260.5,165.954580925295,230.251674999877,2003,622
124.6,147,92.9340679979998,168.78153710208,2004,622
133,177,110.563466749911,191.848033407696,2006,622
160,251,188.837348609395,241.745872759829,2007,622
122.6,195,73.1586292484604,173.179730086011,2008,622
116,218,103.826795390106,203.306421774605,2009,622
159.3,234,160.841281927055,227.532757985292,2010,622
152.6,233,165.026245349655,227.060643412199,2011,622
149,211,142.203906439771,210.150459907983,2012,622
163.8,230,163.633369708086,229.053237928567,2013,622
159.6,260,178.864634317528,246.976614571836,2014,622
136.6,171,119.827570190206,189.496923581953,2015,622
138,216,133.9530248645,209.098061174247,2016,622
153,236,164.976668455571,229.64012783084,2017,622
170,236,172.365110271766,231.944818910535,2018,622
175,237,174.163749483501,233.330088073943,2019,622
155,227,154.038354866711,222.892539643734,2020,622
202,251,201.084933393455,247.866780883445,2014,644
113.2,187,118.098083822714,197.112350908744,2015,644
199.4,254,200.258290592652,245.316855973635,2016,644
149.7,253,185.255253910561,238.59417102116,2017,644
160,239,161.226046991023,228.069051412466,2018,644
134.2,209.5,139.374620711148,211.752555975938,2019,644
146.3,249.5,166.958585956574,236.067740726832,2020,644
140.6,260,180.498545355876,248.278163570332,2013,645
93,232.5,123.876798717365,216.146174675789,2014,645
167.5,263,176.509627473705,245.457190448938,2015,645
151.5,259.5,174.89192070281,249.9296596736,2016,645
140,233,155.36331961506,221.833423043475,2017,645
169.2,242,176.456306698134,238.255695023178,2018,645
149.4,235,156.686460532174,225.513944619092,2019,645
162,254,179.414772825885,241.973189242156,2020,645
215,239,210.620422608644,237.977876042631,2007,646
170,222.5,168.24364807472,231.410418832235,2013,646
122.4,228,116.255599013302,205.034711490664,2014,646
193.3,244,188.779147473194,242.73547209456,2015,646
169.6,247.5,180.328062187028,241.318635573919,2016,646
179,237.5,169.409436761913,234.006180852832,2017,646
171,235,175.398188291507,231.822756992008,2018,646
161,229,165.183007170387,225.978647190493,2019,646
176,242,176.857924332845,236.889092650799,2020,646
184.6,212,179.894085633471,214.412698868953,2005,647
213.8,229,197.898940868756,232.925069138525,2010,647
145.3,240,171.2777945911,230.375809611776,2011,647
120.8,218.5,133.766168303773,209.095353569061,2012,647
125.4,216,122.34563507621,201.017029474226,2013,647
173,203,149.055164627369,219.626736350651,2014,647
163.1,225,153.866502844817,224.239612438624,2015,647
174,235,170.648515804144,233.895838240934,2016,647
165,238,164.788633253377,231.966806967818,2017,647
181,242,182.570091511396,238.171952289107,2018,647
175,237,175.278795148326,233.379874533426,2019,647
181.5,242,180.894469249781,236.530243890589,2020,647
149.8,206,140.708505590571,201.589446068813,2006,648
160.1,226.5,160.988128448718,215.59728763771,2008,648
172.6,242,189.53748680989,237.107974946604,2009,648
136.4,171.5,103.037237845706,182.885134870508,2010,648
157.1,229,157.36320552405,227.337064188717,2011,648
155,213.5,139.852118820239,214.617119355288,2012,648
157.5,249,169.845799388348,236.825783757087,2013,648
155,231,152.539965476434,222.547509614477,2014,648
144,242,163.60326855717,230.76812910053,2015,648
141,231,160.898507963734,226.179476823139,2016,648
189,253,191.928510537078,246.521440911332,2017,648
175,238,176.09632460428,234.584327383619,2018,648
172,236,176.374659958885,231.895786451067,2019,648
172,242,177.101764944379,236.182641927257,2020,648
241.7,267,239.802969714571,262.195798134746,2005,649
176,205,156.507763107555,215.328229586708,2008,649
157.4,240,175.252863746268,231.14006192838,2009,649
150.5,222,155.237733371551,213.313549888458,2010,649
