"q10","q50","w10","w50","year","HEXcell","code"
140.7,150.5,124.039759388462,166.079860032489,2020,534,"RL"
189,226,169.303627199675,228.161819752225,2020,534,"RP"
188.2,218,175.785310249159,218.728203566285,2020,565,"RP"
200.8,237,206.170305892305,236.987946641194,2014,566,"RP"
200.4,249,197.768409495612,241.899645777455,2019,566,"RP"
178.2,211,173.095741076512,212.741342722123,2020,566,"RP"
145,159,126.209894930994,184.373096492423,2020,567,"RL"
194.2,228,180.236844569817,222.409417662177,2018,567,"RP"
201.6,255.5,194.278987723837,254.833842844766,2019,567,"RP"
199.8,220,185.014550405008,227.934439738749,2020,567,"RP"
212,237,202.023843579543,237.661544759048,2020,568,"RP"
145,183,135.79982854109,177.332635329587,2020,590,"RL"
174.3,237,169.449619637411,231.203701457678,2018,590,"RP"
187.8,246,191.208186041495,240.897670080756,2019,590,"RP"
175.8,222,164.660702351045,218.229617976622,2020,590,"RP"
157.1,188.5,147.804052887494,185.223912545973,2020,591,"RL"
176.1,187,155.27207942366,210.020304173841,2018,591,"RP"
189,224,180.66912108134,230.632513839434,2019,591,"RP"
184.3,223.5,177.816876555144,229.729267490979,2020,591,"RP"
188.9,241,194.670049181498,241.74129408357,2018,592,"RP"
194,236,197.593464034257,239.500848503627,2019,592,"RP"
201.4,238,189.73457666305,241.257477964805,2020,592,"RP"
154.4,190,141.273385723677,197.730066874671,2018,593,"RL"
147,167,130.249596896324,176.517177139434,2019,593,"RL"
148.4,164,121.396505090548,173.385830108302,2020,593,"RL"
188,259.5,205.719828489375,249.590098802858,2017,593,"RP"
195.7,237,187.770796151869,236.267545765619,2018,593,"RP"
202,254,204.343578669298,250.160724687887,2019,593,"RP"
178.9,206.5,164.99005952715,213.694819753325,2020,593,"RP"
146.9,164,139.902335536515,163.723192198621,2020,594,"RL"
174,229,185.326807441399,223.611683532282,2018,594,"RP"
226.2,264,214.577653336274,261.411052661211,2019,594,"RP"
190.6,244,201.464315571515,241.878330147839,2020,594,"RP"
139,161,125.574133582094,165.388051778398,2018,595,"RL"
123.7,176,119.043412267312,175.171468933466,2019,595,"RL"
149,167,125.088251707868,175.728700525742,2020,595,"RL"
191,236,184.62995834548,240.416326866942,2017,595,"RP"
211.5,229.5,204.486724732321,235.070933162032,2018,595,"RP"
198.9,252.5,199.395916209916,248.625172026977,2019,595,"RP"
194.9,230,178.988280177472,232.335398128514,2020,595,"RP"
164.2,235,161.383062656074,227.638783260643,2020,617,"RP"
218.5,237,197.108878575379,245.846038839998,2018,618,"RP"
179.6,241.5,177.893503330979,231.034417828277,2019,618,"RP"
220,246,214.288930358622,243.131626963539,2020,618,"RP"
140.5,201,137.199647224575,204.059740829424,2020,619,"RL"
180,244,188.558124972853,238.633279733434,2018,619,"RP"
207.6,252,202.945651383635,247.80567961594,2019,619,"RP"
181,226,170.219938965223,225.452127036542,2020,619,"RP"
142.2,214,144.784022413054,204.105051704749,2018,620,"RL"
157.4,166,135.41306905543,175.111712199682,2020,620,"RL"
183.6,219,175.056115907803,224.79941210225,2017,620,"RP"
194.9,229,184.575430250756,231.798402073661,2018,620,"RP"
218,248,209.904664017697,247.656706896671,2019,620,"RP"
183.9,239,178.386949384421,233.217948296008,2020,620,"RP"
