"Name","Region","cell","Latitude","Longitude","Year","julianweek","nSurveyBranches","nSurveys","totalCount","numSurveysGTzero","totalBiomass","meanDensity","fracSurveys","meanBiomass"
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,172,30,30,8,8,203.389373,0.266666666666667,26.6666666666667,6.77964576666667
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,179,30,30,4,4,528.2882,0.133333333333333,13.3333333333333,17.6096066666667
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,186,30,30,2,2,618.31832,0.0666666666666667,6.66666666666667,20.6106106666667
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,193,29,30,1,1,319.4284,0.0333333333333333,3.33333333333333,10.6476133333333
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,200,30,30,0,0,0,0,0,0
"Brookbanks Park","ON",593,43.75526,-79.32994,2020,207,30,30,0,0,0,0,0,0
"Coweeta - BB","NC",702,35.04167,-83.475,2011,144,233,233,99,68,699.43112428,0.424892703862661,29.1845493562232,3.00185031879828
"Coweeta - BB","NC",702,35.04167,-83.475,2011,151,77,77,9,7,101.2918085,0.116883116883117,9.09090909090909,1.31547803246753
"Coweeta - BB","NC",702,35.04167,-83.475,2011,158,220,220,25,21,412.4966722,0.113636363636364,9.54545454545454,1.87498487363636
"Coweeta - BB","NC",702,35.04167,-83.475,2011,165,162,197,17,15,230.8747545,0.0862944162436548,7.61421319796954,1.17195306852792
"Coweeta - BB","NC",702,35.04167,-83.475,2011,172,272,272,13,13,447.97125996,0.0477941176470588,4.77941176470588,1.64695316161765
"Coweeta - BB","NC",702,35.04167,-83.475,2011,179,379,379,14,10,167.3907099,0.0369393139841689,2.63852242744063,0.441664142216359
"Coweeta - BB","NC",702,35.04167,-83.475,2012,144,399,399,67,47,846.2438619,0.167919799498747,11.7794486215539,2.12091193458647
"Coweeta - BB","NC",702,35.04167,-83.475,2012,151,173,173,11,10,115.39478,0.0635838150289017,5.78034682080925,0.667021849710983
"Coweeta - BB","NC",702,35.04167,-83.475,2012,158,240,240,14,13,233.5199453,0.0583333333333333,5.41666666666667,0.972999772083333
"Coweeta - BB","NC",702,35.04167,-83.475,2012,165,203,249,13,12,172.7800942,0.0522088353413655,4.81927710843374,0.69389596064257
"Coweeta - BB","NC",702,35.04167,-83.475,2012,172,358,358,20,18,665.18240278,0.0558659217877095,5.02793296089385,1.85805140441341
"Coweeta - BB","NC",702,35.04167,-83.475,2012,179,326,333,8,8,106.8398864,0.024024024024024,2.4024024024024,0.3208404996997
"Coweeta - BB","NC",702,35.04167,-83.475,2012,186,292,292,18,14,120.4831451,0.0616438356164384,4.79452054794521,0.412613510616438
"Coweeta - BB","NC",702,35.04167,-83.475,2013,144,235,235,16,15,44.88251176,0.0680851063829787,6.38297872340426,0.190989411744681
"Coweeta - BB","NC",702,35.04167,-83.475,2013,151,243,243,25,24,168.6277936,0.102880658436214,9.87654320987654,0.69394153744856
"Coweeta - BB","NC",702,35.04167,-83.475,2013,158,127,127,19,17,74.4384086,0.149606299212598,13.3858267716535,0.586129201574803
"Coweeta - BB","NC",702,35.04167,-83.475,2013,165,133,133,25,19,240.5623374,0.18796992481203,14.2857142857143,1.80873937894737
"Coweeta - BB","NC",702,35.04167,-83.475,2013,172,229,229,49,41,961.49799326,0.213973799126638,17.9039301310044,4.19868119327511
"Coweeta - BB","NC",702,35.04167,-83.475,2013,179,266,266,35,31,478.61250466,0.131578947368421,11.6541353383459,1.79929513030075
"Coweeta - BB","NC",702,35.04167,-83.475,2013,186,113,113,15,14,181.09728446,0.132743362831858,12.3893805309735,1.6026308359292
"Coweeta - BB","NC",702,35.04167,-83.475,2014,144,240,240,51,46,252.39988214,0.2125,19.1666666666667,1.05166617558333
"Coweeta - BB","NC",702,35.04167,-83.475,2014,151,166,193,49,41,518.9285973,0.253886010362694,21.2435233160622,2.68874920880829
"Coweeta - BB","NC",702,35.04167,-83.475,2014,158,266,266,76,58,1224.6369816,0.285714285714286,21.8045112781955,4.60389842706767
"Coweeta - BB","NC",702,35.04167,-83.475,2014,165,99,117,23,19,327.26452146,0.196581196581197,16.2393162393162,2.79713266205128
"Coweeta - BB","NC",702,35.04167,-83.475,2014,172,264,264,70,50,1444.82751908,0.265151515151515,18.9393939393939,5.47283151166667
"Coweeta - BB","NC",702,35.04167,-83.475,2014,179,187,187,33,32,213.77475772,0.176470588235294,17.1122994652406,1.14318052256684
"Coweeta - BB","NC",702,35.04167,-83.475,2014,186,279,279,36,33,563.60198356,0.129032258064516,11.8279569892473,2.02007879412186
"Coweeta - BB","NC",702,35.04167,-83.475,2015,144,143,143,35,29,227.7914654,0.244755244755245,20.2797202797203,1.59294731048951
"Coweeta - BB","NC",702,35.04167,-83.475,2015,158,112,112,17,15,251.9187097,0.151785714285714,13.3928571428571,2.24927419375
"Coweeta - BB","NC",702,35.04167,-83.475,2015,165,310,310,43,40,579.0354529,0.138709677419355,12.9032258064516,1.86785629967742
"Coweeta - BB","NC",702,35.04167,-83.475,2015,172,255,255,24,23,406.7340424,0.0941176470588235,9.01960784313725,1.59503546039216
"Coweeta - BB","NC",702,35.04167,-83.475,2015,179,268,268,21,17,463.0480052,0.0783582089552239,6.34328358208955,1.7277910641791
"Coweeta - BB","NC",702,35.04167,-83.475,2015,186,71,71,5,4,54.04511546,0.0704225352112676,5.63380281690141,0.761198809295775
"Coweeta - BB","NC",702,35.04167,-83.475,2017,144,178,178,19,15,68.2745649,0.106741573033708,8.42696629213483,0.383564971348315
"Coweeta - BB","NC",702,35.04167,-83.475,2017,151,52,52,9,8,60.1062862,0.173076923076923,15.3846153846154,1.15589011923077
"Coweeta - BB","NC",702,35.04167,-83.475,2017,158,178,178,24,23,404.34188032,0.134831460674157,12.9213483146067,2.27158359730337
"Coweeta - BB","NC",702,35.04167,-83.475,2017,165,103,103,2,2,5.029586,0.0194174757281553,1.94174757281553,0.0488309320388349
"Coweeta - BB","NC",702,35.04167,-83.475,2017,172,65,65,5,5,94.507001,0.0769230769230769,7.69230769230769,1.45395386153846
"Coweeta - BB","NC",702,35.04167,-83.475,2017,179,229,296,15,15,76.22423936,0.0506756756756757,5.06756756756757,0.257514322162162
"Coweeta - BB","NC",702,35.04167,-83.475,2018,144,140,140,22,22,88.8877912,0.157142857142857,15.7142857142857,0.634912794285714
"Coweeta - BB","NC",702,35.04167,-83.475,2018,151,94,94,16,14,64.04731256,0.170212765957447,14.8936170212766,0.68135438893617
"Coweeta - BB","NC",702,35.04167,-83.475,2018,158,154,155,22,22,301.0731537,0.141935483870968,14.1935483870968,1.94240744322581
