"Name","cell","Latitude","Longitude","Year","n_dates","cc_10","cc_50"
"Brookbanks Park",593,43.755259966615,-79.329944638904,2020,4,163.892243380389,177.733425952194
"Coweeta - BB",702,35.041667,-83.475,2011,6,131.794760421416,154.286771958506
"Coweeta - BB",702,35.041667,-83.475,2012,7,133.011591854927,159.742644547886
"Coweeta - BB",702,35.041667,-83.475,2013,7,149.628731668956,168.409257891599
"Coweeta - BB",702,35.041667,-83.475,2014,7,142.680351621057,164.931023846317
"Coweeta - BB",702,35.041667,-83.475,2015,6,144.902893786431,164.640446717918
"Coweeta - BB",702,35.041667,-83.475,2017,6,138.388043619041,160.355643704619
"Coweeta - BB",702,35.041667,-83.475,2018,7,140.55394573784,163.925747078393
"Coweeta - BS",702,35.025,-83.458333,2010,6,149.262176066521,170.051779037323
"Coweeta - BS",702,35.025,-83.458333,2011,7,131.442035332134,155.434181002024
"Coweeta - BS",702,35.025,-83.458333,2012,8,140.62037689749,167.976779366385
"Coweeta - BS",702,35.025,-83.458333,2013,8,142.370044756064,167.916691533862
"Coweeta - BS",702,35.025,-83.458333,2014,8,137.277685644177,163.704671887787
"Coweeta - BS",702,35.025,-83.458333,2015,8,140.875539140303,166.393053346665
"Coweeta - BS",702,35.025,-83.458333,2018,7,146.432834027756,168.206447196368
"Fernbank Forest",729,33.77615094252,-84.321870803833,2019,7,167.777631028657,192.161302390575
"Georgetown",676,38.909602349623,-77.07900566587,2018,8,169.111158578527,192.669429762968
"Inglewood area",702,34.864489439311,-82.345790863037,2020,8,158.111950885642,184.059657164225
"Kalamazoo Nature Center",591,42.3604,-85.5836,2018,5,137.113899513936,172.750687220949
"Lillian Anderson Arboretum Fern Oak Site",591,42.29328948726,-85.702333734838,2020,7,135.10059773071,164.7107648093
"Linda Loring Nature Foundation",736,41.291998909614,-70.170192718506,2019,4,142.281025882281,176.108227330744
"Litzsinger Road Ecology Center Woodland Site A",645,38.624382910368,-90.376199371614,2019,6,169.929758837913,190.17413760559
"Mass Audubon's Boston Nature Center",595,42.286004028739,-71.099689938102,2019,4,169.016576225782,189.517634354613
"Museum of American Bird Art",595,42.163219926543,-71.139992349488,2018,6,150.407269135479,177.467899442917
"Museum of American Bird Art",595,42.163219926543,-71.139992349488,2019,6,143.605052975908,173.200770114995
"NC Botanical Garden",703,35.8994,-79.0339,2015,10,146.786429292962,171.49877978139
"NC Botanical Garden",703,35.8994,-79.0339,2016,10,151.715309057989,175.063311574446
"NC Botanical Garden",703,35.8994,-79.0339,2017,10,149.324978962468,175.692479065508
"NC Botanical Garden",703,35.8994,-79.0339,2018,10,156.489198441481,179.971265904971
"NC Botanical Garden",703,35.8994,-79.0339,2019,10,143.258697989834,170.676818943438
"NC Botanical Garden",703,35.8994,-79.0339,2020,6,146.73067055259,175.946325449834
"Occoquan Forest",676,38.724894002151,-77.388896942139,2020,6,159.07884454459,183.174429175262
"Prairie Ridge Ecostation",703,35.8117,-78.7139,2015,10,153.583901875323,178.422061890325
"Prairie Ridge Ecostation",703,35.8117,-78.7139,2016,10,152.823396117514,177.977556982848
"Prairie Ridge Ecostation",703,35.8117,-78.7139,2017,10,141.179128106527,171.349881353593
"Prairie Ridge Ecostation",703,35.8117,-78.7139,2018,10,153.567259302682,179.039992268953
"Prairie Ridge Ecostation",703,35.8117,-78.7139,2019,10,144.140514029429,172.981226648093
"RVCC",593,43.81900252918,-79.170878351185,2018,5,164.046341586336,185.652342797383
"RVCC",593,43.81900252918,-79.170878351185,2019,4,171.182465133463,191.365032552877
"Sault College",564,46.534499045766,-84.30692999308,2018,6,137.282133070022,170.102034273334
"UNC Chapel Hill Campus",703,35.909876654033,-79.049644020807,2018,7,141.06941725586,162.676121184621
"UNC Chapel Hill Campus",703,35.909876654033,-79.049644020807,2019,7,148.582896006964,177.172735098466
"Walker Nature Center",676,38.925767408682,-77.341531666344,2019,5,177.655041045388,195.510753286961
"Woodland Edge Ravine",647,39.037932434365,-83.091851288506,2020,8,141.147758893837,176.344180429219
