"q10","q50","w10","w50","year","HEXcell","code"
168,187,165.502497519634,188.131890875372,2019,507,"RE"
156.3,178,151.78278113424,180.096095114374,2020,507,"RE"
158,188,156.596119788422,190.654048877311,2018,507,"RL"
168,192,146.118154024614,194.284981280999,2019,507,"RL"
155,183,145.492503219368,184.969681257864,2020,507,"RL"
142,173,132.498723223151,179.544141461588,2018,507,"RP"
151.5,178.5,141.438016720879,184.939417490688,2019,507,"RP"
143.3,171,131.692537932103,177.539863820728,2020,507,"RP"
151,170.5,127.947434991611,173.227445671465,2018,534,"RE"
151,171,129.184270143543,178.832647694439,2020,534,"RE"
153.2,184,131.73231501947,191.286227387525,2017,534,"RL"
151,180,136.022434175249,188.75759520936,2018,534,"RL"
162,201,150.893749300325,206.800862750148,2019,534,"RL"
153,182,140.44429550589,192.299828418351,2020,534,"RL"
153,181,128.619114342073,191.065423017412,2017,534,"RP"
148,176,137.992280574481,186.66709439243,2018,534,"RP"
162,210,146.170713626624,205.404032532042,2019,534,"RP"
151,198,145.691579669621,196.305080334491,2020,534,"RP"
161,171,129.781281374711,187.89013689615,2017,535,"RL"
157.7,185.5,147.78471833431,188.104050880837,2018,535,"RL"
173,197,152.704480044467,204.028292723188,2019,535,"RL"
164,182,145.772813011838,190.717566716437,2020,535,"RL"
145,169,125.614452458696,174.480811861079,2020,535,"RP"
160,190,155.659750869229,192.452849091688,2018,536,"RL"
168,186,150.113798765396,187.065869260016,2019,536,"RL"
151.9,178.5,129.258605942457,182.555271906329,2020,562,"RE"
135,169,120.780541632047,175.616655964245,2012,562,"RL"
155,166,124.970339353981,173.592204703048,2014,562,"RL"
155,181,138.844450662759,200.969670638218,2016,562,"RL"
146,200,136.943408839356,202.867029909938,2017,562,"RL"
151.4,191,138.677844861176,197.125712563698,2018,562,"RL"
164,202,153.223279160403,204.818384059942,2019,562,"RL"
154,187,138.86184683936,194.509855698699,2020,562,"RL"
144.6,206.5,134.218744713463,197.642444360801,2017,562,"RP"
144,200,138.131718518217,193.200167480027,2018,562,"RP"
155.6,209,155.815167908425,205.353815656197,2019,562,"RP"
151,201,144.325137974085,198.497018387093,2020,562,"RP"
166.4,192,160.197909142803,196.774500850285,2019,563,"RE"
162.4,202,178.438736807671,200.218205713033,2020,563,"RE"
155,188,151.008750252244,190.453314320287,2017,563,"RL"
160,192.5,154.440950769504,198.938482557906,2018,563,"RL"
166,198,153.201666492628,202.170017115671,2019,563,"RL"
165.6,198,157.878550279216,197.973314443105,2020,563,"RL"
146,187,139.663292638145,195.909589411274,2019,563,"RP"
158,180.5,152.247730594723,184.462524911012,2020,564,"RE"
162.5,183,137.373992390025,194.05982302918,2017,564,"RL"
163,190,153.897262769036,194.493259266584,2018,564,"RL"
177,202,167.963947667828,205.532781017484,2019,564,"RL"
161,188,152.56982098617,192.986232876086,2020,564,"RL"
147.5,166,131.538262382992,173.344831504256,2020,564,"RP"
170.6,188,163.732498966732,194.431307141862,2019,565,"RE"
165.6,183,150.595874716783,188.005882207044,2020,565,"RE"
161,183,147.864644956096,191.332980617343,2018,565,"RL"
169,190,157.716716709984,197.794825241674,2019,565,"RL"
165,187,150.076367764001,194.341508343027,2020,565,"RL"
153,169,119.489267987969,173.070105826386,2018,565,"RP"
155.8,177.5,137.427619115945,178.218801159565,2019,565,"RP"
145.3,172,133.395109041078,175.253822079752,2020,565,"RP"
169.9,184,159.473234288894,187.10375903071,2019,566,"RE"
158,170,150.319125322745,175.455375735491,2020,566,"RE"
160.6,214,159.50419197135,207.518523229525,2015,566,"RL"
149,178,131.279945004287,186.645217982473,2016,566,"RL"
162,184.5,139.23310608392,196.336752345526,2017,566,"RL"
158,189,144.759838518866,196.557566612175,2018,566,"RL"
172,200,158.859099889162,207.856335701258,2019,566,"RL"
158,183,143.421114068904,188.457665293177,2020,566,"RL"
139,162,113.293473267957,172.002669548342,2016,566,"RP"
131.9,164.5,116.509543079117,176.987486072183,2017,566,"RP"
137,188,133.246535492688,190.68336919858,2018,566,"RP"
153.4,197,144.519581785607,200.683508509161,2019,566,"RP"
144,170,129.220731094558,177.849035325861,2020,566,"RP"
163,175.5,146.103906980272,177.892296058792,2017,567,"RE"
167,181,159.806009390064,183.280459480268,2019,567,"RE"
158,177,148.120621319847,179.994901140426,2020,567,"RE"
153,193,135.432509505859,197.449695070919,2013,567,"RL"
157.8,199,146.559982000048,201.138291350213,2014,567,"RL"
154,171,130.965499840172,189.358331635726,2015,567,"RL"
155,193,142.80971477279,202.515935617058,2016,567,"RL"
163,188,140.230125335029,198.77492710264,2017,567,"RL"
160,199,150.541193718802,203.147466310156,2018,567,"RL"
168,203,155.8745749764,209.735020973777,2019,567,"RL"
160,191,146.278257415325,201.221993405409,2020,567,"RL"
152.5,165,123.108466768788,185.245302832706,2013,567,"RP"
142.6,170,121.696364264169,183.793908338808,2014,567,"RP"
149.9,168,125.913700297888,180.053610517785,2015,567,"RP"
144,177,127.105096848717,187.554561578841,2016,567,"RP"
141,173,123.751790418474,181.731454394284,2017,567,"RP"
141,194,136.34780182164,193.56824691089,2018,567,"RP"
146,188,134.870156158532,195.366446293668,2019,567,"RP"
