"","hex","Year","Month","Day","Code","ntot"
"1",453,2005,6,15,"Oth",7
"2",453,2005,6,15,"RE",4
"3",453,2005,6,15,"RL",9
"4",453,2005,6,15,"RP",1
"5",453,2006,8,1,"Oth",1
"6",453,2007,5,27,"Oth",4
"7",457,2013,4,17,"Oth",1
"8",457,2013,4,17,"RP",7
"9",457,2013,5,2,"Oth",2
"10",457,2013,5,2,"RL",29
"11",457,2013,5,2,"RP",24
"12",457,2013,5,16,"RL",90
"13",457,2013,5,16,"RP",39
"14",507,2001,8,10,"Oth",1
"15",507,2002,5,25,"Oth",1
"16",507,2002,5,25,"RP",1
"17",507,2003,6,18,"Oth",1
"18",507,2003,7,12,"Oth",3
"19",507,2003,7,12,"RE",30
"20",507,2003,7,12,"RL",15
"21",507,2003,7,29,"Oth",6
"22",507,2003,7,29,"RE",18
"23",507,2003,7,29,"RL",60
"24",507,2003,7,29,"RP",9
"25",507,2006,6,5,"RL",1
"26",507,2006,6,17,"Oth",2
"27",507,2006,9,1,"Oth",4
"28",507,2006,9,1,"RL",8
"29",507,2006,9,1,"RP",2
"30",507,2007,5,25,"Oth",45
"31",507,2007,5,25,"RL",30
"32",507,2007,5,25,"RP",32
"33",507,2007,5,28,"Oth",16
"34",507,2007,5,28,"RL",12
"35",507,2007,5,28,"RP",23
"36",507,2007,6,30,"Oth",4
"37",507,2007,6,30,"RE",23
"38",507,2007,6,30,"RL",31
"39",507,2007,6,30,"RP",5
"40",507,2007,8,25,"Oth",8
"41",507,2007,8,25,"RE",2
"42",507,2007,8,25,"RL",7
"43",507,2007,8,25,"RP",1
"44",507,2007,9,1,"Oth",6
"45",507,2007,9,1,"RL",5
"46",507,2007,9,23,"Oth",5
"47",507,2007,9,23,"RL",2
"48",507,2008,4,21,"Oth",14
"49",507,2008,5,23,"Oth",8
"50",507,2008,5,23,"RP",13
"51",507,2008,5,24,"Oth",3
"52",507,2008,5,24,"RL",1
"53",507,2008,5,24,"RP",35
"54",507,2008,6,8,"Oth",3
"55",507,2008,6,8,"RL",6
"56",507,2008,6,8,"RP",11
"57",507,2008,6,14,"RL",12
"58",507,2008,6,14,"RP",15
"59",507,2008,6,20,"Oth",2
"60",507,2008,6,20,"RL",24
"61",507,2008,6,20,"RP",12
"62",507,2008,7,17,"RL",22
"63",507,2008,7,17,"RP",1
"64",507,2008,7,18,"Oth",2
"65",507,2008,7,18,"RE",29
"66",507,2008,7,18,"RL",83
"67",507,2008,7,18,"RP",9
"68",507,2008,7,26,"Oth",2
"69",507,2008,7,26,"RE",33
"70",507,2008,7,26,"RL",63
"71",507,2008,8,9,"Oth",4
"72",507,2008,8,9,"RE",2
"73",507,2008,8,9,"RL",24
"74",507,2008,8,9,"RP",4
"75",507,2008,8,29,"RL",8
"76",507,2008,8,30,"Oth",1
"77",507,2008,8,30,"RE",3
"78",507,2008,8,30,"RL",19
"79",507,2008,9,12,"Oth",4
"80",507,2008,9,12,"RL",1
"81",507,2008,9,12,"RP",1
"82",507,2008,9,26,"Oth",5
"83",507,2008,9,26,"RL",1
"84",507,2009,5,3,"Oth",18
"85",507,2009,5,3,"RP",4
"86",507,2009,5,22,"Oth",1
"87",507,2009,5,22,"RP",35
"88",507,2009,5,23,"Oth",1
"89",507,2009,5,23,"RL",5
"90",507,2009,5,23,"RP",32
"91",507,2009,5,30,"RL",18
"92",507,2009,5,30,"RP",10
"93",507,2009,6,4,"RL",8
"94",507,2009,6,4,"RP",7
"95",507,2009,6,13,"Oth",1
"96",507,2009,6,13,"RL",27
"97",507,2009,6,13,"RP",9
"98",507,2009,6,26,"RL",11
"99",507,2009,6,26,"RP",2
"100",507,2009,7,26,"Oth",1
"101",507,2009,7,26,"RE",60
"102",507,2009,7,26,"RL",37
"103",507,2009,7,26,"RP",2
"104",507,2009,7,31,"RE",6
"105",507,2009,7,31,"RL",44
"106",507,2009,8,9,"Oth",5
"107",507,2009,8,9,"RE",3
"108",507,2009,8,9,"RL",10
"109",507,2009,8,14,"Oth",7
"110",507,2009,8,14,"RE",8
"111",507,2009,8,14,"RL",23
"112",507,2009,8,14,"RP",1
"113",507,2009,8,23,"RL",5
"114",507,2009,9,4,"Oth",1
"115",507,2009,9,4,"RL",2
"116",507,2009,9,5,"Oth",1
"117",507,2009,9,5,"RE",1
"118",507,2009,9,5,"RL",8
"119",507,2009,9,19,"Oth",2
"120",507,2009,9,19,"RP",1
"121",507,2010,4,6,"Oth",8
"122",507,2010,4,9,"Oth",5
"123",507,2010,5,4,"Oth",1
"124",507,2010,5,4,"RP",11
"125",507,2010,5,9,"Oth",5
"126",507,2010,5,9,"RL",5
