"","Year","hex","Family","tot_count","n.recs"
"1",2000,536,"Lycaenidae",1,1
"2",2000,564,"Nymphalidae",3,2
"3",2000,591,"Hesperiidae",5,5
"4",2000,591,"Lycaenidae",6,4
"5",2000,591,"Nymphalidae",12,11
"6",2000,591,"Papilionidae",6,4
"7",2000,591,"Pieridae",4,3
"8",2000,595,"Nymphalidae",1,1
"9",2000,617,"Hesperiidae",165,41
"10",2000,617,"Lycaenidae",289,17
"11",2000,617,"Nymphalidae",335,60
"12",2000,617,"Papilionidae",73,25
"13",2000,617,"Pieridae",225,25
"14",2000,620,"Hesperiidae",4,1
"15",2000,622,"Hesperiidae",176,10
"16",2000,622,"Lycaenidae",120,6
"17",2000,622,"Nymphalidae",284,13
"18",2000,622,"Papilionidae",4,2
"19",2000,622,"Pieridae",139,4
"20",2000,648,"Hesperiidae",627,92
"21",2000,648,"Lycaenidae",474,66
"22",2000,648,"Nymphalidae",1250,177
"23",2000,648,"Papilionidae",481,43
"24",2000,648,"Pieridae",941,50
"25",2000,649,"Nymphalidae",6,6
"26",2000,649,"Pieridae",9,3
"27",2000,673,"Hesperiidae",2,1
"28",2000,673,"Lycaenidae",3,2
"29",2000,673,"Nymphalidae",48,5
"30",2000,673,"Pieridae",2,2
"31",2000,676,"Hesperiidae",19,9
"32",2000,676,"Lycaenidae",55,13
"33",2000,676,"Nymphalidae",137,57
"34",2000,676,"Papilionidae",55,18
"35",2000,676,"Pieridae",891,38
"36",2000,701,"Hesperiidae",27,11
"37",2000,701,"Lycaenidae",34,8
"38",2000,701,"Nymphalidae",64,11
"39",2000,701,"Papilionidae",28,8
"40",2000,701,"Pieridae",11,4
"41",2000,702,"Hesperiidae",14,5
"42",2000,702,"Lycaenidae",21,2
"43",2000,702,"Nymphalidae",12,4
"44",2000,702,"Papilionidae",28,3
"45",2000,702,"Pieridae",4,3
"46",2000,3671,"Hesperiidae",75,43
"47",2000,3671,"Lycaenidae",1,1
"48",2000,3671,"Nymphalidae",66,33
"49",2000,3671,"Papilionidae",9,9
"50",2000,3671,"Pieridae",12,11
"51",2000,3672,"Hesperiidae",152,17
"52",2000,3672,"Lycaenidae",5,2
"53",2000,3672,"Nymphalidae",513,14
"54",2000,3672,"Papilionidae",29,7
"55",2000,3672,"Pieridae",762,5
"56",2000,3673,"Hesperiidae",56,15
"57",2000,3673,"Lycaenidae",2,2
"58",2000,3673,"Nymphalidae",73,9
"59",2000,3673,"Papilionidae",42,10
"60",2000,3673,"Pieridae",33,6
"61",2000,3700,"Hesperiidae",37,9
"62",2000,3700,"Lycaenidae",7,3
"63",2000,3700,"Nymphalidae",34,13
"64",2000,3700,"Papilionidae",4,2
"65",2000,3700,"Pieridae",106,11
"66",2000,3727,"Hesperiidae",85,24
"67",2000,3727,"Lycaenidae",383,3
"68",2000,3727,"Nymphalidae",258,31
"69",2000,3727,"Papilionidae",18,6
"70",2000,3727,"Pieridae",186,25
"71",2001,507,"Nymphalidae",1,1
"72",2001,510,"Nymphalidae",6,2
"73",2001,535,"Pieridae",6,1
"74",2001,536,"Hesperiidae",5,2
"75",2001,536,"Lycaenidae",4,1
"76",2001,536,"Nymphalidae",51,12
"77",2001,536,"Pieridae",4,2
"78",2001,537,"Nymphalidae",1,1
"79",2001,538,"Nymphalidae",1,1
"80",2001,562,"Hesperiidae",75,9
"81",2001,562,"Lycaenidae",28,7
"82",2001,562,"Nymphalidae",928,23
"83",2001,562,"Papilionidae",18,6
