"family","cc","inat_cat","inat_adult"
"Hesperiidae"," ","X","X"
"Lycaenidae"," ","X","X"
"Nymphalidae"," ","X","X"
"Papilionidae","X","X","X"
"Pieridae"," ","X","X"
"Riodinidae"," "," ","X"
"Erebidae","X","X"," "
"Gelechiidae","X","X"," "
"Geometridae","X","X"," "
"Lasiocampidae","X","X"," "
"Limacodidae","X","X"," "
"Noctuidae","X","X"," "
"Notodontidae","X","X"," "
"Pyralidae","X","X"," "
"Saturniidae","X","X"," "
"Apatelodidae"," ","X"," "
"Attevidae"," ","X"," "
"Batrachedridae"," ","X"," "
"Bedelliidae"," ","X"," "
"Blastobasidae"," ","X"," "
"Bucculatricidae"," ","X"," "
"Coleophoridae"," ","X"," "
"Cosmopterigidae"," ","X"," "
"Cossidae"," ","X"," "
"Crambidae"," ","X"," "
"Depressariidae"," ","X"," "
"Drepanidae"," ","X"," "
"Epipyropidae"," ","X"," "
"Euteliidae"," ","X"," "
"Glyphipterigidae"," ","X"," "
"Gracillariidae"," ","X"," "
"Heliozelidae"," ","X"," "
"Hepialidae"," ","X"," "
"Incurvariidae"," ","X"," "
"Megalopygidae"," ","X"," "
"Mimallonidae"," ","X"," "
"Momphidae"," ","X"," "
"Nepticulidae"," ","X"," "
"Nolidae"," ","X"," "
"Plutellidae"," ","X"," "
"Psychidae"," ","X"," "
"Pterophoridae"," ","X"," "
"Sesiidae"," ","X"," "
"Sphingidae"," ","X"," "
"Tineidae"," ","X"," "
"Tischeriidae"," ","X"," "
"Tortricidae"," ","X"," "
"Yponomeutidae"," ","X"," "
"Ypsolophidae"," ","X"," "
"Zygaenidae"," ","X"," "
