row.id,Genus_Species,altname,nametype,complex,with.data
1,Abablemma bilineata,Abablemma bilineata,binomial,FALSE,FALSE
2,Abablemma brimleyana,Abablemma brimleyana,binomial,FALSE,FALSE
3,Abablemma duomaculata,Abablemma duomaculata,binomial,FALSE,FALSE
4,Abablemma grandimacula,Abablemma grandimacula,binomial,FALSE,FALSE
5,Abaeis nicippe,Abaeis nicippe,binomial,FALSE,FALSE
6,Abaeis nicippe,Eurema nicippe,binomial,FALSE,TRUE
7,Abaeis nicippe,Sleepy Orange,english,FALSE,TRUE
8,Abagrotis alampeta,Abagrotis alampeta,binomial,FALSE,FALSE
9,Abagrotis alcandola,Abagrotis alcandola,binomial,FALSE,FALSE
10,Abagrotis alternata,Abagrotis alternata,binomial,FALSE,FALSE
11,Abagrotis alternata,Greater Red Dart Moth,english,FALSE,FALSE
12,Abagrotis anchocelioides,Abagrotis anchocelioides,binomial,FALSE,FALSE
13,Abagrotis anchocelioides,Blueberry Budworm Moth,english,FALSE,FALSE
14,Abagrotis apposita,Abagrotis apposita,binomial,FALSE,FALSE
15,Abagrotis baueri,Abagrotis baueri,binomial,FALSE,FALSE
16,Abagrotis belfragei,Abagrotis belfragei,binomial,FALSE,FALSE
17,Abagrotis benjamini,Abagrotis benjamini,binomial,FALSE,FALSE
18,Abagrotis bimarginalis,Abagrotis bimarginalis,binomial,FALSE,FALSE
19,Abagrotis brunneipennis,Abagrotis brunneipennis,binomial,FALSE,FALSE
20,Abagrotis cryptica,Abagrotis cryptica,binomial,FALSE,FALSE
21,Abagrotis cupida,Abagrotis cupida,binomial,FALSE,FALSE
22,Abagrotis cupida,Cupid Dart Moth,english,FALSE,FALSE
23,Abagrotis denticulata,Abagrotis denticulata,binomial,FALSE,FALSE
24,Abagrotis dickeli,Abagrotis dickeli,binomial,FALSE,FALSE
25,Abagrotis discoidalis,Abagrotis discoidalis,binomial,FALSE,FALSE
26,Abagrotis dodi,Abagrotis dodi,binomial,FALSE,FALSE
27,Abagrotis duanca,Abagrotis duanca,binomial,FALSE,FALSE
28,Abagrotis erratica,Abagrotis erratica,binomial,FALSE,FALSE
29,Abagrotis forbesi,Abagrotis forbesi,binomial,FALSE,FALSE
30,Abagrotis glenni,Abagrotis glenni,binomial,FALSE,FALSE
31,Abagrotis hennei,Abagrotis hennei,binomial,FALSE,FALSE
32,Abagrotis hermina,Abagrotis hermina,binomial,FALSE,FALSE
33,Abagrotis kirkwoodi,Abagrotis kirkwoodi,binomial,FALSE,FALSE
34,Abagrotis magnicupida,Abagrotis magnicupida,binomial,FALSE,FALSE
35,Abagrotis magnicupida,One-dotted Dart,english,FALSE,FALSE
