"","Genus_Species","Common Name","Genus","Species","Tribe","Subfamily","Family","n","ows"
"1","Abablemma bilineata",NA,"Abablemma","bilineata",NA,"Scolecocampinae","Erebidae",1,NA
"2","Abablemma brimleyana",NA,"Abablemma","brimleyana",NA,"Scolecocampinae","Erebidae",1,NA
"3","Abablemma duomaculata",NA,"Abablemma","duomaculata",NA,"Scolecocampinae","Erebidae",1,NA
"4","Abablemma grandimacula",NA,"Abablemma","grandimacula",NA,"Scolecocampinae","Erebidae",1,NA
"5","Abaeis nicippe",NA,"Abaeis","nicippe",NA,"Coliadinae","Pieridae",1,NA
"6","Abagrotis alampeta",NA,"Abagrotis","alampeta","Noctuini","Noctuinae","Noctuidae",1,NA
"7","Abagrotis alcandola",NA,"Abagrotis","alcandola","Noctuini","Noctuinae","Noctuidae",1,NA
"8","Abagrotis alternata","Greater Red Dart Moth","Abagrotis","alternata","Noctuini","Noctuinae","Noctuidae",1,NA
"9","Abagrotis anchocelioides","Blueberry Budworm Moth","Abagrotis","anchocelioides","Noctuini","Noctuinae","Noctuidae",1,NA
"10","Abagrotis apposita",NA,"Abagrotis","apposita","Noctuini","Noctuinae","Noctuidae",1,NA
"11","Abagrotis baueri",NA,"Abagrotis","baueri","Noctuini","Noctuinae","Noctuidae",1,NA
"12","Abagrotis belfragei",NA,"Abagrotis","belfragei","Noctuini","Noctuinae","Noctuidae",1,NA
"13","Abagrotis benjamini",NA,"Abagrotis","benjamini","Noctuini","Noctuinae","Noctuidae",1,NA
"14","Abagrotis bimarginalis",NA,"Abagrotis","bimarginalis","Noctuini","Noctuinae","Noctuidae",1,NA
"15","Abagrotis brunneipennis",NA,"Abagrotis","brunneipennis","Noctuini","Noctuinae","Noctuidae",1,NA
"16","Abagrotis cryptica",NA,"Abagrotis","cryptica","Noctuini","Noctuinae","Noctuidae",1,NA
"17","Abagrotis cupida","Cupid Dart Moth","Abagrotis","cupida","Noctuini","Noctuinae","Noctuidae",1,NA
"18","Abagrotis denticulata",NA,"Abagrotis","denticulata","Noctuini","Noctuinae","Noctuidae",1,NA
"19","Abagrotis dickeli",NA,"Abagrotis","dickeli","Noctuini","Noctuinae","Noctuidae",1,NA
"20","Abagrotis discoidalis",NA,"Abagrotis","discoidalis","Noctuini","Noctuinae","Noctuidae",1,NA
"21","Abagrotis dodi",NA,"Abagrotis","dodi","Noctuini","Noctuinae","Noctuidae",1,NA
"22","Abagrotis duanca",NA,"Abagrotis","duanca","Noctuini","Noctuinae","Noctuidae",1,NA
"23","Abagrotis erratica",NA,"Abagrotis","erratica","Noctuini","Noctuinae","Noctuidae",1,NA
"24","Abagrotis forbesi",NA,"Abagrotis","forbesi","Noctuini","Noctuinae","Noctuidae",1,NA
"25","Abagrotis glenni",NA,"Abagrotis","glenni","Noctuini","Noctuinae","Noctuidae",1,NA
"26","Abagrotis hennei",NA,"Abagrotis","hennei","Noctuini","Noctuinae","Noctuidae",1,NA
"27","Abagrotis hermina",NA,"Abagrotis","hermina","Noctuini","Noctuinae","Noctuidae",1,NA
"28","Abagrotis kirkwoodi",NA,"Abagrotis","kirkwoodi","Noctuini","Noctuinae","Noctuidae",1,NA
"29","Abagrotis magnicupida","One-dotted Dart","Abagrotis","magnicupida","Noctuini","Noctuinae","Noctuidae",1,NA
"30","Abagrotis mexicana",NA,"Abagrotis","mexicana","Noctuini","Noctuinae","Noctuidae",1,NA
"31","Abagrotis mirabilis",NA,"Abagrotis","mirabilis","Noctuini","Noctuinae","Noctuidae",1,NA
"32","Abagrotis nanalis",NA,"Abagrotis","nanalis","Noctuini","Noctuinae","Noctuidae",1,NA
