"","CountID","CountName","State","Country","Lat","Lng","cell"
"1",2,"ACAS, MD.","MD","USA",39.4234,-77.1931,648
"2",4,"Adams County Preserves, OH.","OH","USA",38.74,-83.44,647
"3",7,"Airlie Center, VA.","VA","USA",38.7566,-77.7943,676
"4",8,"Akron, OH.","OH","USA",41.0605,-81.5637,620
"5",9,"Albert, NB, Canada.","NB","CND",45.68,-64.73,739
"6",11,"Alexandria, LA.","LA","USA",31.2742,-92.467,698
"7",12,"Algonquin East, ON, Canada.","ON","CND",45.9833,-77.9,566
"8",13,"Algonquin Park, ON, Canada.","ON","CND",45.5667,-78.4,593
"9",14,"Allaire, NJ.","NJ","USA",40.235,-74.19,649
"10",15,"Allegan, MI.","MI","USA",42.5492,-86.0074,591
"11",16,"Allegany State Park, NY.","NY","USA",42.1,-78.72,621
"12",18,"Alva, FL.","FL","USA",26.7153,-81.6726,3727
"13",19,"Ames, IA.","IA","USA",42.13,-93.58,589
"14",20,"Amherst, WI.","WI","USA",44.33,-89.42,563
"15",22,"Andover, MA.","MA","USA",42.65,-71.13,595
"16",24,"Ann Arbor City, MI.","MI","USA",42.2805,-83.7066,619
"17",25,"Antioch, NH.","NH","USA",42.95,-72.27,595
"18",30,"Archer, FL.","FL","USA",29.6667,-82.3392,3672
"19",33,"Arrowhead Marsh, IN.","IN","USA",41,-85.3,619
"20",34,"Ashe County, NC.","NC","USA",36.4,-81.45,702
"21",36,"Asheville, NC.","NC","USA",35.58,-82.6,702
"22",41,"Atmore, AL.","AL","USA",31.02,-87.5,727
"23",43,"Aullwood Audubon Center and Farm, OH.","OH","USA",39.8732,-84.2754,646
"24",47,"Baker Ponds, NH.","NH","USA",43.8898,-71.9685,595
"25",49,"Bald Eagle State Park, PA.","PA","USA",41.05,-77.75,648
"26",50,"Bald Mountain Recreation Area, MI.","MI","USA",42.75,-83.21,592
"27",51,"Baraboo, WI.","WI","USA",43.4891,-89.7387,590
"28",52,"Barataria, LA.","LA","USA",29.72,-90.12,726
"29",53,"Barnegat, NJ.","NJ","USA",39.7533,-74.2231,649
"30",54,"Barnstable #1, MA.","MA","USA",41.68,-70.4,736
"31",55,"Barnstable #2, MA.","MA","USA",41.62,-70.55,736
"32",60,"Bear Trap Junction, MN.","MN","USA",46.8833,-92.4833,535
"33",61,"Beardstown, IL.","IL","USA",39.9484,-90.4278,617
"34",63,"Beaver Creek Reserve, WI.","WI","USA",44.8134,-91.2701,562
"35",64,"Beaver Meadow, NY.","NY","USA",42.67,-78.37,621
"36",65,"Beavercreek Wildlife Area, OH.","OH","USA",39.83,-84.02,646
"37",67,"Belleplain, NJ.","NJ","USA",39.25,-74.9333,649
"38",71,"Bentonville, VA.","VA","USA",38.82,-78.33,676
"39",77,"Big Black Mountain, KY/VA.","KY","USA",37,-83,674
"40",79,"Big Oaks National Wildlife Refuge, IN.","IN","USA",38.9333,-85.4167,646
"41",81,"Big Tancook Island, Lunenberg County, NS, Canada.","NS","CND",44.45,-64.17,738
"42",82,"Binghamton, NY.","NY","USA",42.1167,-75.9,621
"43",85,"Blackstone Valley Corridor, MA.","MA","USA",42.1243,-71.6117,595
"44",86,"Blackwater River State Forest, FL.","FL","USA",30.8505,-86.789,3671
"45",87,"Block Island, RI.","RI","USA",41.17,-71.55,736
"46",88,"Blowing Rock, NC.","NC","USA",36.07,-81.72,702
"47",91,"Blue Ridge Mountains, VA.","VA","USA",37.82,-78.88,675
"48",92,"Blue Ridge Parkway, VA.","VA","USA",37.9609,-79.0326,675
"49",96,"Bok Tower, FL.","FL","USA",27.8646,-81.6431,3700
"50",97,"Bond Swamp National Wildlife Refuge, GA.","GA","USA",32.7288,-83.5765,729
"51",98,"Bong Recreation Area, WI.","WI","USA",42.63,-88.12,590
"52",99,"Bonnet Carre Spillway, LA.","LA","USA",30,-90.4583,726
"53",100,"Boone County, IA.","IA","USA",41.97,-93.84,589
"54",101,"Boone County, IN.","IN","USA",39.95,-86.25,646
"55",102,"Boone County, MO.","MO","USA",38.88,-92.33,617
"56",104,"Bouctouche, NB, Canada","NB","CND",46.5,-64.75,739
"57",105,"Boulder Lake Management Area, MN.","MN","USA",47.0667,-92.1167,535
"58",107,"Brass Hill, Barrington, NS, Canada.","NS","CND",43.5,-65.5,738
"59",111,"Brewster, MA.","MA","USA",41.6095,-70.585,736
"60",111,"Brewster, MA.","MA","USA",41.7833,-70.0167,736
"61",113,"Bronx/Manhattan Counties, NY.","NY","USA",40.86,-73.9,622
"62",114,"Brooklyn/Queens Counties, NY.","NY","USA",40.6807,-73.8446,622
"63",119,"Bruce Peninsula, ON, Canada.","ON","CND",45.17,-81.42,565
"64",122,"Bryn Mawr, PA.","PA","USA",40.0689,-75.3406,649
"65",124,"Buffalo Jump Prairie, MO.","MO","USA",37.77,-93.48,644
"66",125,"Buffalo National River (Erbie), AR.","AR","USA",36.07,-93.22,671
"67",126,"Bull Creek, FL.","FL","USA",28.0844,-80.9672,3700
"68",127,"Bullfrog Creek, FL.","FL","USA",27.77,-82.3351,3700
"69",128,"Burr Oak Woods, MO.","MO","USA",39.08,-94.37,616
"70",129,"Busch Conservation Area, MO.","MO","USA",38.7051,-90.74,617
"71",130,"Busch Wildlife Area, MO.","MO","USA",38.67,-90.7,617
"72",131,"Butterfly Hill, VA.","VA","USA",39.27,-77.63,648
"73",133,"Caddo Lake, TX.","TX","USA",32.72,-94.15,698
"74",134,"Caesar Creek Lake, OH.","OH","USA",39.4881,-84.0582,646
"75",135,"Caledonia, MN.","MN","USA",43.73,-91.58,562
"76",140,"Calumet County, WI.","WI","USA",44.05,-88.33,563
"77",141,"Calvert County, MD.","MD","USA",38.61,-76.7,676
"78",144,"Cambridge (rare Charitable Research Reserve), ON.","ON","CND",43.3817,-80.355,593
"79",146,"Camel's Hump, VT.","VT","USA",44.43,-72.85,567
"80",147,"Cameron Parish, LA.","LA","USA",29.75,-93.58,725
"81",148,"Camillus, NY.","NY","USA",43.07,-76.22,594
"82",150,"Campbell County, TN.","TN","USA",36.37,-84.25,674
"83",151,"Canaan Valley, WV.","WV","USA",39.0667,-79.425,648
"84",152,"Cape May, NJ.","NJ","USA",39.0167,-74.8667,649
"85",153,"Carden, ON, Canada.","ON","CND",44.6333,-79.05,593
"86",155,"Carleton Reserve, Sarasota County, FL.","FL","USA",27.13,-82.4,3700
"87",157,"Carlton County, MN.","MN","USA",46.64,-92.34,535
"88",159,"Carver Park Reserve, MN.","MN","USA",44.85,-93.6,534
"89",160,"Cass County, MI.","MI","USA",41.92,-86,591
"90",161,"Caswell County, NC.","NC","USA",36.35,-78.92,703
"91",162,"Catoosa-Whitfield, GA.","GA","USA",34.8749,-85.0056,701
"92",163,"Cedar Rapids, IA.","IA","USA",42,-91.68,589
"93",166,"Central Bucks County, PA.","PA","USA",40.37,-75.08,649
"94",169,"Central Park, NY.","NY","USA",40.75,-73.97,622
"95",171,"Central Queens County, Long Island, NY.","NY","USA",40.7,-73.83,622
"96",174,"Chadds Ford, PA.","PA","USA",39.87,-75.58,649
"97",175,"Chagrin River Valley, OH.","OH","USA",41.4784,-81.4382,620
"98",175,"Chagrin River Valley, OH.","OH","USA",41.4833,-81.4333,620
"99",177,"Charleston - East, SC.","SC","USA",32.86,-79.88,730
"100",178,"Charleston - South, SC.","SC","USA",32.72,-80.1,730
"101",180,"Chautauqua, NY.","NY","USA",42.271,-79.1639,620
"102",181,"Chelsea, MI.","MI","USA",42.3181,-84.0204,619
"103",183,"Chichaqua, IA.","IA","USA",41.79,-93.39,589
"104",186,"Chippewa Nature Center, MI","MI","USA",43.611,-84.4091,591
"105",186,"Chippewa Nature Center, MI.","MI","USA",43.62,-84.42,591
"106",187,"Chippokes Plantation State Park, VA.","VA","USA",37.1397,-76.7208,676
"107",191,"Christmas, FL.","FL","USA",28.5,-81,3700
"108",193,"Churchill #1, MB, Canada.","MB","CND",59,-94.25,370
"109",194,"Churchill #2, MB, Canada.","MB","CND",58.75,-94.12,370
"110",198,"Clatter Valley, New Milford, CT.","CT","USA",41.47,-73.52,622
"111",199,"Clear Creek Valley, OH.","OH","USA",39.62,-82.68,647
"112",200,"Clear Creek, ON, Canada","ON","CND",42.5147,-81.7729,620
"113",202,"Cleveland Heights-Holden Arboretum, OH.","OH","USA",41.69,-81.36,620
"114",203,"Clinton, MS.","MS","USA",32.33,-90.32,699
"115",205,"Codorus State Park, PA.","PA","USA",39.78,-76.92,649
"116",207,"Colchester, VT.","VT","USA",44.53,-73.17,567
"117",214,"Concord, MA.","MA","USA",42.4333,-71.4167,595
"118",215,"Congaree Swamp, SC.","SC","USA",33.77,-80.75,730
"119",217,"Conway, SC.","SC","USA",33.82,-79,730
"120",218,"Cook County, MN. #1","MN","USA",47.87,-90.28,535
"121",219,"Cook County, MN. #2","MN","USA",47.78,-93.53,507
"122",220,"Coral Gables, FL.","FL","USA",25.7051,-80.269,3727
"123",221,"Corkscrew Swamp Sanctuary, FL.","FL","USA",26.3666,-81.5217,3727
"124",221,"Corkscrew Swamp Sanctuary, FL.","FL","USA",26.3667,-81.5167,3727
"125",222,"Cornucopia, WI.","WI","USA",46.8037,-91.0932,535
"126",231,"Crex Meadows, WI.","WI","USA",45.8455,-92.6062,534
"127",232,"Croatan National Forest, NC.","NC","USA",34.87,-76.98,733
"128",233,"Crown Colony, TN.","TN","USA",36.58,-82.38,674
"129",234,"Cuivre River State Park, MO.","MO","USA",39.08,-90.98,617
"130",236,"Cumberland, RI.","RI","USA",41.98,-71.48,595
"131",242,"Danby, VT.","VT","USA",43.28,-73,595
"132",243,"Danby-Tinmouth, VT.","VT","USA",43.35,-73.0833,595
"133",245,"Danville, VA.","VA","USA",36.59,-79.39,703
"134",246,"Darby Creek, OH.","OH","USA",39.9,-83.23,647
"135",248,"Dare County - Mainland, NC.","NC","USA",35.73,-75.87,733
"136",250,"Davie County, NC.","NC","USA",35.92,-80.52,702
"137",252,"Davy Crockett National Forest, TX.","TX","USA",31.33,-94.25,698
