"","ScientificName","n","sciname","l1","SpeciesID"
"1","",2722,"",0,""
"2","Achalarus casica",57,"Achalarus casica",1,"Achalarus casica"
"3","Achalarus jalapus",2,"Achalarus jalapus",1,"Achalarus jalapus"
"4","Achalarus lyciades",837,"Achalarus lyciades",1,"Achalarus lyciades"
"5","Achalarus tehuacana",1,"Achalarus tehuacana",1,"Achalarus tehuacana"
"6","Achalarus toxeus",24,"Achalarus toxeus",1,"Achalarus toxeus"
"7","Achlyodes thraso",107,"Achlyodes thraso",1,"Achlyodes thraso"
"8","Adelpha",2,"Adelpha",0,"Adelpha"
"9","Adelpha basiloides",8,"Adelpha basiloides",1,"Adelpha basiloides"
"10","Adelpha bredowii",528,"Adelpha bredowii",1,"Adelpha bredowii"
"11","Adelpha bredowii eualia",2,"Adelpha bredowii eualia",2,"Adelpha bredowii"
"12","Adelpha fessonia",12,"Adelpha fessonia",1,"Adelpha fessonia"
"13","Adopaeoides prittwitzi",3,"Adopaeoides prittwitzi",1,"Adopaeoides prittwitzi"
"14","Agathymus aryxna",13,"Agathymus aryxna",1,"Agathymus aryxna"
"15","Agraulis vanillae",2335,"Agraulis vanillae",1,"Agraulis vanillae"
"16","Agriades",1,"Agriades",0,"Agriades"
"17","Agriades cassiope",4,"Agriades cassiope",1,"Agriades cassiope"
"18","Agriades glandon",116,"Agriades glandon",1,"Agriades glandon"
"19","Agriades glandon franklinii",7,"Agriades glandon franklinii",2,"Agriades glandon"
"20","Agriades glandon glandon",1,"Agriades glandon glandon",2,"Agriades glandon"
"21","Agriades glandon podarce",33,"Agriades glandon podarce",2,"Agriades glandon"
"22","Aguna asander",5,"Aguna asander",1,"Aguna asander"
"23","Aguna metophis",2,"Aguna metophis",1,"Aguna metophis"
"24","Amblyscirtes",25,"Amblyscirtes",0,"Amblyscirtes"
"25","Amblyscirtes aenus",93,"Amblyscirtes aenus",1,"Amblyscirtes aenus"
"26","Amblyscirtes aesculapius",364,"Amblyscirtes aesculapius",1,"Amblyscirtes aesculapius"
"27","Amblyscirtes alternata",32,"Amblyscirtes alternata",1,"Amblyscirtes alternata"
"28","Amblyscirtes belli",92,"Amblyscirtes belli",1,"Amblyscirtes belli"
"29","Amblyscirtes carolina",28,"Amblyscirtes carolina",1,"Amblyscirtes carolina"
"30","Amblyscirtes cassus",56,"Amblyscirtes cassus",1,"Amblyscirtes cassus"
"31","Amblyscirtes celia",166,"Amblyscirtes celia",1,"Amblyscirtes celia"
"32","Amblyscirtes elissa",38,"Amblyscirtes elissa",1,"Amblyscirtes elissa"
"33","Amblyscirtes eos",72,"Amblyscirtes eos",1,"Amblyscirtes eos"
"34","Amblyscirtes exoteria",60,"Amblyscirtes exoteria",1,"Amblyscirtes exoteria"
"35","Amblyscirtes fimbriata",30,"Amblyscirtes fimbriata",1,"Amblyscirtes fimbriata"
"36","Amblyscirtes hegon",79,"Amblyscirtes hegon",1,"Amblyscirtes hegon"
"37","Amblyscirtes nereus",43,"Amblyscirtes nereus",1,"Amblyscirtes nereus"
"38","Amblyscirtes nysa",145,"Amblyscirtes nysa",1,"Amblyscirtes nysa"
